#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x 
EVTDESCins.2;Your predecessor has decided to take upon himself the peregrinatio pro Christo, or exile for Christ, abadoning all possessions and seeking foriegn lands. As the heir to your predecessor's estates, you are now in control of them, albiet prematurely.;;;;;;;;x 
EVTOPTAins.2;Bonus Fortuna...;;;;;;;;x 
EVTDESCins.3;Ta ööriin khaant ulsyg orkhin yavakh, khezee ch butsaakh...;;;;;;;x 
peregrinatio;Peregrinatio Pro Christo;;;;;;x 
peregrinatio_desc;To abdicate the throne and dedicate your life to wandering the land for Christ would be an incredibly pious act, and is looked upon favorable by the Insular Rite.;;;;;;x 
ca_culture_briton_1;Breton Warrior Field;;;;;;x 
ca_culture_briton_1_desc;A small, open field for training soldiers for the defense of Briton lands.;;;;;;x 
ca_culture_briton_2;Breton Warrior Camp;;;;;;x 
ca_culture_briton_2_desc;A small camp for training loyal regiments of Briton soldiers.;;;;;;x 
ca_culture_briton_3;Breton Warrior Fort;;;;;;x 
ca_culture_briton_3_desc;A veritable stronghold, capable of fielding large, well trained armies for the defense of the Isles.;;;;;;x 
ca_culture_briton_4;Breton Warrior Fortress;;;;;;x 
ca_culture_briton_4_desc;A powerful fortress, capable of raising great armies in the name of the Briton people.;;;;;;x 
EVTDESCins.1;While traveling across your lands, you encounter a monastary, destroyed by heathen or robber. Upon further inspection you discover that the monks had hidden all of their treasure, making it possible to restore the holy place.;;;;;;x 
EVTOPTBins.1;That treasure would look very nice back home...;;;;;;x 
EVTOPTAins.1;We shall build the Monastary of Saint [Root.GetFirstNameWithNick]!;;;;;;x 
EVTOPTCins.1;Rebuild the monastary, but let my work go nameless and faceless;;;;;;x 
EVTNAMEins.4;The Synod of Whitby;;;;;;x 
EVTDESCins.4;In your wisdom, you have called a great Synod to be held, to finally determine the calculation of Easter. Summoning bishops representing Iona and Rome, it is hoped that the schism between the two rites can finally be solved.;;;;;;x 
EVTOPTAins.4;Let the Bishops be called!;;;;;;x 
EVTDESCins.5;The Bishops are now arriving, and it is you duty to preside and judge over this Synod, and both sides shall make their arguments to you.;;;;;;x 
EVTOPTAins.5;Let us begin.;;;;;;x 
EVTDESCins.6;First to make their arguments are the Bishops from Iona, who claim that their system is that of St. Columba, a man of absolute piety, who, in the traditions of St. John the Apostle, spread monestaries and Christianity throughout the Isles. To change the date would be to convict St. Columba and St. John with hersy.;;;;;;x 
EVTOPTAins.6;An interesting idea...;;;;;;x 
