#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC550100;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;;Le pediste a [Root.Guardian.GetTitledFirstName] que te enseñará a usar la espada.;;;;;;;;;x
EVTDESC550101;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;;Le pediste a [Root.Guardian.GetTitledFirstName] que te ayudara a mejorar tu habilidad con la espada.;;;;;;;;;x
EVTDESC550103;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;Vous voulez [Root.Guardian.GetTitledFirstName] pour vous aider à vraiment maîtriser l'art du combat à l'épée! ;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;;¡Quieres que [Root.Guardian.GetTitledFirstName] te ayude a dominar DE VERDAD el arte de la esgrima!;;;;;;;;;x
EVTDESC5550105;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;Bajo mi tutela, mi joven [GetFromRelation] [From.GetFirstName], poco a poco está aprendiendo el arte de la esgrima.;;;;;;;;;x
EVTDESC5550112;The sword in my hand seems heavier and heavier every year...;L'épée dans ma main semble de plus en plus lourde d'année en année…;The sword in my hand seems heavier and heavier every year...;;Esta espada parece más pesada cada año que pasa...;;;;;;;;;x
EVTOPTA5550100;Stick 'em with the pointy end!;Transpercez-les avec la pointe de la lame! ;Stick 'em with the pointy end!;;Tienes que clavarla por el extremo puntiagudo.;;;;;;;;;x
master_warrior;Formidable Fighter;Combattant formidable;Formidable Fighter;;Luchador formidable;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;Ce personnage est l'une des plus fines lames de le monde, il est favorisé par Dieu et redouté sur le champs de bataille. ;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;;Este personaje es uno de los más grandes guerreros del mundo, favorecido por Dios y temido en el campo de batalla.;;;;;;;;;x
poor_warrior;Novice Fighter;Mauvais combattant;Novice Fighter;;Luchador novato;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;;Este personaje comprende lo básico del combate, pero es torpe, confiado e inexperto.;;;;;;;;;x
skilled_warrior;Skilled Fighter;Combattant talentueux;Skilled Fighter;;Luchador hábil;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;This character possesses a certain talent for battle and swordplay.;;Este personaje posee cierto talento para la batalla y la esgrima.;;;;;;;;;x
trained_warrior;Trained Fighter;Combattant entraîné;Trained Fighter;;Luchador avanzado;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement dans l'art de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;This character has received training in the art of combat. While no master, they can hold their own in a fight.;;Este personaje ha recibido entrenamiento en el arte de la guerra. Aunque no es un maestro, se defiende bien en combate.;;;;;;;;;x
