#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC55000;Populace embraces your culture.;Populace embraces your culture.;Populace embraces your culture.;;Populace embraces your culture.;;;;;;;;;x
sicilian.meltingpot.desc;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;;;;;;;;;x
sicilian.meltingpot.a;That's an offer I can't refuse.;That's an offer I can't refuse.;That's an offer I can't refuse.;;That's an offer I can't refuse.;;;;;;;;;x
sicilian.meltingpot.b;I am not interested in cannoli.;I am not interested in cannoli.;I am not interested in cannoli.;;I am not interested in cannoli.;;;;;;;;;x
sicilian.meltingpot2.desc;I'm becoming Sicilian.;I'm becoming Sicilian.;I'm becoming Sicilian.;;I'm becoming Sicilian.;;;;;;;;;x
sicilian.meltingpot2.a;I will become Sicilian.;I will become Sicilian.;I will become Sicilian.;;I will become Sicilian.;;;;;;;;;x
sicilian.meltingpot2.b;Do nothing.;Do nothing.;Do nothing.;;Do nothing.;;;;;;;;;x
sicilian.5;I am adopting Sicilian.;;;;;;;;;;;;;x
sicilian.5a;So be it!;;;;;;;;;;;;;x
sicilian.6;Sicilian is spreading across the land.;;;;;;;;;;;;;x
sicilian.6a;I see...;;;;;;;;;;;;;x
sicilian.7;My courtiers must understand local Sicilian customs and language so that we may better deal with the natives of the region.;;;;;;;;;;;;;x
sicilian.7a;We are all Sicilia now.;;;;;;;;;;;;;x
sicilian.8;My vassals must understand local Sicilian customs and language. If they can better communicate with local elites, then there will be more peace throughout the realm and efficiency in our administration.;;;;;;;;;;;;;x
sicilian.8a;That's an offer you can't refuse.;;;;;;;;;;;;;x
sicilian.9;I'm becoming Sicilian.;;;;;;;;;;;;;x
sicilian.9a;Mamma mia!;;;;;;;;;;;;;x
siculo_arabic.meltingpot.desc;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Siculo-Arabic' culture as our own?;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Siculo-Arabic' culture as our own?;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Siculo-Arabic' culture as our own?;;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Siculo-Arabic' culture as our own?;;;;;;;;;x
siculo_arabic.meltingpot.a;That's an offer I can't refuse.;That's an offer I can't refuse.;That's an offer I can't refuse.;;That's an offer I can't refuse.;;;;;;;;;x
siculo_arabic.meltingpot.b;I am not interested in cannoli.;I am not interested in cannoli.;I am not interested in cannoli.;;I am not interested in cannoli.;;;;;;;;;x
siculo_arabic.meltingpot2.desc;I'm becoming Siculo-Arabic.;I'm becoming Siculo-Arabic.;I'm becoming Siculo-Arabic.;;I'm becoming Siculo-Arabic.;;;;;;;;;x
siculo_arabic.meltingpot2.a;I will become Siculo-Arabic.;I will become Siculo-Arabic.;I will become Siculo-Arabic.;;I will become Siculo-Arabic.;;;;;;;;;x
siculo_arabic.meltingpot2.b;Do nothing.;Do nothing.;Do nothing.;;Do nothing.;;;;;;;;;x
griko.meltingpot;The Greeks of southern Italy have long been independent from the Byzantine Empire, and for years we have mixed with the local Italians, Sicilians, Arabs, and others. While we still feel close affinity with our cousins in Greece and Anatolia, our cultural, linguistic, and historical differences set us apart from our imperial brethren. It is time we accept these differences and embrace this new 'Griko' culture.;The Greeks of southern Italy have long been independent from the Byzantine Empire, and for years we have mixed with the local Italians, Sicilians, Arabs, and others. While we still feel close affinity with our cousins in Greece and Anatolia, our cultural, linguistic, and historical differences set us apart from our imperial brethren. It is time we accept these differences and embrace this new 'Griko' culture.;The Greeks of southern Italy have long been independent from the Byzantine Empire, and for years we have mixed with the local Italians, Sicilians, Arabs, and others. While we still feel close affinity with our cousins in Greece and Anatolia, our cultural, linguistic, and historical differences set us apart from our imperial brethren. It is time we accept these differences and embrace this new 'Griko' culture.;;The Greeks of southern Italy have long been independent from the Byzantine Empire, and for years we have mixed with the local Italians, Sicilians, Arabs, and others. While we still feel close affinity with our cousins in Greece and Anatolia, our cultural, linguistic, and historical differences set us apart from our imperial brethren. It is time we accept these differences and embrace this new 'Griko' culture.;;;;;;;;;x
griko.meltingpot.a;We are still proud Greeks nevertheless.;We are still proud Greeks nevertheless.;We are still proud Greeks nevertheless.;;We are still proud Greeks nevertheless.;;;;;;;;;x
griko.meltingpot.2;Griko is spreading in our realm.;Griko is spreading in our realm.;Griko is spreading in our realm.;;Griko is spreading in our realm.;;;;;;;;;x
griko.meltingpot.2a;So be it.;So be it.;So be it.;;So be it.;;;;;;;;;x
griko.meltingpot.3;In order to solidify the position of Griko, or Sicilian Greek, in southern Italy, it is important that my court embraces Griko culture and the Griko dialect of Greek.;In order to solidify the position of Griko, or Sicilian Greek, in southern Italy, it is important that my court embraces Griko culture and the Griko dialect of Greek.;In order to solidify the position of Griko, or Sicilian Greek, in southern Italy, it is important that my court embraces Griko culture and the Griko dialect of Greek.;;In order to solidify the position of Griko, or Sicilian Greek, in southern Italy, it is important that my court embraces Griko culture and the Griko dialect of Greek.;;;;;;;;;x
griko.meltingpot.3a;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;;Respect for diverse peoples and cultures is fun!;;;;;;;;;x
griko.meltingpot.4;As we begin to embrace our Griko identity, it is important that our vassals do as well, in order to more effectively administer Griko land.;As we begin to embrace our Griko identity, it is important that our vassals do as well, in order to more effectively administer Griko land.;As we begin to embrace our Griko identity, it is important that our vassals do as well, in order to more effectively administer Griko land.;;As we begin to embrace our Griko identity, it is important that our vassals do as well, in order to more effectively administer Griko land.;;;;;;;;;x
griko.meltingpot.4a;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;;Respect for diverse peoples and cultures is fun!;;;;;;;;;x
griko.meltingpot.5;I am becoming Griko.;I am becoming Griko.;I am becoming Griko.;;I am becoming Griko.;;;;;;;;;x
griko.meltingpot.5a;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;Respect for diverse peoples and cultures is fun!;;Respect for diverse peoples and cultures is fun!;;;;;;;;;x
sudanese.1;The lands south of Egypt have long been inhabited by the Christian Nubians and Ethiopians. However, now, as the natives begin converting to Islam and assimilating Arabic culture, and as new Arabs migrate into a new region, a new identity is arising in East Africa: Sudanese Arabic.;;;;;;;;;;;;;x
sudanese.1a;I, too, feel Sudanese at heart.;;;;;;;;;;;;;x
sudanese.2;Sudanese Arabic is spreading throughout East Africa.;;;;;;;;;;;;;x
sudanese.2a;So it is, Insha'Allah!;;;;;;;;;;;;;x
sudanese.3;As Sudanese Arabic is spreading across the realm, it is important my courtiers understand and accept this new identity.;;;;;;;;;;;;;x
sudanese.3a;Come, we are all Sudanese now.;;;;;;;;;;;;;x
sudanese.4;It is important that the new, Muslim rulers of East African associate with their subjects. Therefore, my vassals must embrace Sudanese Arabic as their own.;;;;;;;;;;;;;x
sudanese.4a;We rule over Sudan now, after all.;;;;;;;;;;;;;x
sudanese.5;I am adopting Sudanese Arabic.;;;;;;;;;;;;;x
sudanese.5a;So be it!;;;;;;;;;;;;;x
tatar.meltingpot.desc;The Mongols have ruled in the steppes near the Black and Caspian seas for many years. Now, they are beginning to intermingle with the native populations, and a new Crimean Tatar identity is emerging.;The Mongols have ruled in the steppes near the Black and Caspian seas for many years. Now, they are beginning to intermingle with the native populations, and a new Crimean Tatar identity is emerging.;The Mongols have ruled in the steppes near the Black and Caspian seas for many years. Now, they are beginning to intermingle with the native populations, and a new Crimean Tatar identity is emerging.;;The Mongols have ruled in the steppes near the Black and Caspian seas for many years. Now, they are beginning to intermingle with the native populations, and a new Crimean Tatar identity is emerging.;;;;;;;;;x
