patrons_azt;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_azt_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Aztec faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi aztèque.;;;;;;;;;;;;x
PATRONS_AZT.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais me dévouer à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_AZT.1.a;The feathered serpent, Quetzalcoatl.;Le serpent à plume, Quetzalcoatl.;;;;;;;;;;;;x
PATRONS_AZT.1.b;Huitzilopochtli, a god of war.;Huitzilopochtli, dieu de la guerre.;;;;;;;;;;;;x
PATRONS_AZT.1.c;Chantico, she who dwells in the house.;Chantico, celle qui habite la maison.;;;;;;;;;;;;x
PATRONS_AZT.1.d;There are others...;Il y en a d'autres…;;;;;;;;;;;;x
PATRONS_AZT.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_AZT.2.a;Mictlantecuhtli, lord of the underworld.;Mictlantecuhtli, seigneur des enfers.;;;;;;;;;;;;x
PATRONS_AZT.2.b;The mysterious Tloquenahuaque.;Le mystérieux Tloque Nahuaque.;;;;;;;;;;;;x
PATRONS_AZT.2.c;Tlaloc, giver of life.;Tlaloc, donneur de vie.;;;;;;;;;;;;x
PATRONS_AZT.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_quetzalcoatl;Dedicated to Quetzalcoatl;Dédié à Quetzalcoatl;;;;;;;;;;;;x
patron_huitzilopochtli;Dedicated to Huitzilopochtli;Dédié à Huitzilopochtli;;;;;;;;;;;;x
patron_chantico;Dedicated to Chantico;Dédié à Chantico;;;;;;;;;;;;x
patron_mictlantecuhtli;Dedicated to Mictlantecuhtli;Dédié à Mictlantecuhtli;;;;;;;;;;;;x
patron_tloquenahuaque;Dedicated to Tloquenahuaque;Dédié à Tloque Nahuaque;;;;;;;;;;;;x
patron_tlaloc;Dedicated to Tlaloc;Dédié à Tlaloc;;;;;;;;;;;;x
