patrons_chr;Choose a Patron Saint;Choisissez un saint patron;;;;;;;;;;;;x
patrons_chr_desc;You can choose a personal patron saint from among the most notable of the Christian faith.;Vous pouvez choisir un saint patron parmi les plus connus de la foi chrÈtienne.;;;;;;;;;;;;x
patrons_prisc;Choose a Patron Saint;Choisissez un saint patron;;;;;;;;;;;;x
patrons_prisc_desc;You can choose a personal patron saint or ideal to model your life after, from among the most notable of the Priscillian faith.;Vous pouvez choisir un patron parmi les plus connus de la foi Priscillianistes.;;;;;;;;;;;;x
PATRONS_CHR.1.desc;I should dedicate myself to a particular saint and let their virtue inform my rule.;Je devrais m'en remettre ‡ un saint particulier et laisser ses vertus guider mon rèËgne.;;;;;;;;;;;;x
PATRONS_CHR.1.a;Peter, to whom Jesus gave the keys of heaven.;Pierre, ‡ qui JÈsus confia les clefs du paradis.;;;;;;;;;;;;x
PATRONS_CHR.1.b;George, he who slew the dragon.;Georges, qui pourfendit le dragon.;;;;;;;;;;;;x
PATRONS_CHR.1.c;Ambrose, tamer of emperors.;Ambroise, celui que les empereurs craignent.;;;;;;;;;;;;x
PATRONS_CHR.1.d;There are others...;Il en existe d'autres Ö;;;;;;;;;;;;x
PATRONS_CHR.2.desc;Choosing any of these as a personal patron saint would be a testament to my piety.;Choisir l'un d'eux comme saint patron sera une tÈmoignage de ma piÈtÈ.;;;;;;;;;;;;x
PATRONS_CHR.2.a;Gregory the great.;GrÈgoire le Grand.;;;;;;;;;;;;x
PATRONS_CHR.2.b;The wise and learned Augustine.;Le sage et Èrudit Augustin.;;;;;;;;;;;;x
PATRONS_CHR.2.c;Anthony of the Desert Fathers.;Antoine d'Egypte;;;;;;;;;;;;x
PATRONS_CHR.2.d;Or, how about...;Ou alors Ö;;;;;;;;;;;;x
PATRONS_CHR.3.desc;Choosing any of these as a personal patron saint would be a testament to my piety.;Choisir l'un d'eux comme saint patron sera une tÈmoignage de ma piÈtÈ.;;;;;;;;;;;;x
PATRONS_CHR.3.a;The Blessed Virgin Mary.;La Sainte Vièerge Marie.;;;;;;;;;;;;x
PATRONS_CHR.3.b;Thomas, a patron of architects.;Thomas, un patron des architectes.;;;;;;;;;;;;x
PATRONS_CHR.3.c;Golden-mouthed John.;Jean, dit la Bouche d'Or.;;;;;;;;;;;;x
PATRONS_CHR.3.d;On second thought...;AprËès rÈflexion ...;;;;;;;;;;;;x
PATRONS_CHR.4.desc;The true Priscillian faith was built by the tireless sacrifice, intrigue, love, and charisma of legendary martyrs and figures. I can emulate one of them as a testemant to my devotion or piety.;;;;;;;;;;;;;x
PATRONS_CHR.4.a;Saint Priscillian, the philantropic, brilliant leader of the faith.;;;;;;;;;;;;;x
PATRONS_CHR.4.b;Saint Helpidus of silver tongue, who showed Priscillian and many others the truth.;;;;;;;;;;;;;x
