patrons_hel;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_hel_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Hellenic faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi héllénique.;;;;;;;;;;;;x
PATRONS_HEL.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettrer à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_HEL.1.a;Jupiter, the highest of the gods.;Jupiter, le plus grand de tous les dieux.;;;;;;;;;;;;x
PATRONS_HEL.1.b;Mars, who gives us courage.;Mars, qui nous emplit de courage.;;;;;;;;;;;;x
PATRONS_HEL.1.c;Pluto, lord of the underworld and its riches.;Pluton, seigneur des enfers et des richesses souterraines.;;;;;;;;;;;;x
PATRONS_HEL.1.d;There are others...;Il en existe d'autres…;;;;;;;;;;;;x
PATRONS_HEL.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_HEL.2.a;Mercury, patron of trickery and thieves. ;Mercure, protecteur de la fourberie et des voleurs.;;;;;;;;;;;;x
PATRONS_HEL.2.b;Minerva, mentor and guide to heroes.;Minerve, mentor et guide des héros.;;;;;;;;;;;;x
PATRONS_HEL.2.c;The wild and passionate Bacchus.;Bacchus, sauvage et passionné.;;;;;;;;;;;;x
PATRONS_HEL.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_jupiter;Dedicated to Jupiter;Dédié à Jupiter;;;;;;;;;;;;x
patron_mars;Dedicated to Mars;Dédié à Mars;;;;;;;;;;;;x
patron_pluto;Dedicated to Pluto;Dédié à Pluton;;;;;;;;;;;;x
patron_mercury;Dedicated to Mercury;Dédié à Mercure;;;;;;;;;;;;x
patron_minerva;Dedicated to Minerva;Dédié à Minerve;;;;;;;;;;;;x
patron_bacchus;Dedicated to Bacchus;Dédié à Bacchus;;;;;;;;;;;;x
