patrons_nor;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_nor_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Norse faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi nordique.;;;;;;;;;;;;x
PATRONS_NOR.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettre à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_NOR.1.a;Forseti, master of justice.;Forseti, maître de la justice.;;;;;;;;;;;;x
PATRONS_NOR.1.b;Thor, may he lend me his strength.;Thor, puisse-t-il me prêter sa force.;;;;;;;;;;;;x
PATRONS_NOR.1.c;Njordr, a god of prosperity.;Njordr, un dieu de la prospérité.;;;;;;;;;;;;x
PATRONS_NOR.1.d;There are others...;Il en existe d'autres…;;;;;;;;;;;;x
PATRONS_NOR.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_NOR.2.a;Loki, the trickster.;Loki, le farceur.;;;;;;;;;;;;x
PATRONS_NOR.2.b;Odin, the Allfather.;Odin, père de tout.;;;;;;;;;;;;x
PATRONS_NOR.2.c;Freyja, the goddess of fertility.;Freyja, déesse de la fertilité.;;;;;;;;;;;;x
PATRONS_NOR.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_forseti;Dedicated to Forseti;Dédié à Forseti;;;;;;;;;;;;x
patron_thor;Dedicated to Thor;Dédié à Thor;;;;;;;;;;;;x
patron_njordr;Dedicated to Njord;Dédié à Njord;;;;;;;;;;;;x
patron_loki;Dedicated to Loki;Dédié à Loki;;;;;;;;;;;;x
patron_odin;Dedicated to Odin;Dédié à Odin;;;;;;;;;;;;x
patron_freyja;Dedicated to Freyja;Dédié à Freyja;;;;;;;;;;;;x
