patrons_rom;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_rom_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Romuva faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi romuva.;;;;;;;;;;;;x
PATRONS_ROM.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettre à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_ROM.1.a;Dievas, the suprene one.;Dievas, le suprème.;;;;;;;;;;;;x
PATRONS_ROM.1.b;Perkunas, the might thunderer.;Perkunas, la puissance du Tonnerre.;;;;;;;;;;;;x
PATRONS_ROM.1.c;Zemyna, the mother goddess.;Zemyna, la déesse mère.;;;;;;;;;;;;x
PATRONS_ROM.1.d;There are others...;Il en existe d'autres…;;;;;;;;;;;;x
PATRONS_ROM.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_ROM.2.a;Velnias, phantom of the dead.;Velnias, le spectre de la mort.;;;;;;;;;;;;x
PATRONS_ROM.2.b;Laima with her understanding of fate.;Laima et sa compréhension du destin.;;;;;;;;;;;;x
PATRONS_ROM.2.c;Ausrine, who prepares the way for the sun.;Ausrine, qui prépare le lever du soleil.;;;;;;;;;;;;x
PATRONS_ROM.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_dievas;Dedicated to Dievas;Dédié à Dievas;;;;;;;;;;;;x
patron_perkunas;Dedicated to Perkunas;Dédié à Perkunas;;;;;;;;;;;;x
patron_zemyna;Dedicated to Zemyna;Dédié à Zemyna;;;;;;;;;;;;x
patron_velnias;Dedicated to Velnias;Dédié à Velnias;;;;;;;;;;;;x
patron_laima;Dedicated to Laima;Dédié à Laima;;;;;;;;;;;;x
patron_ausrine;Dedicated to Ausrine;Dédié à Ausrine;;;;;;;;;;;;x
