patrons_scy;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_scy_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Tabitian pantheon.;Vous pouvez choisir une divinité personnelle parmi les nombreux dieux puissants et déesses du panthéon tibétain.;;;;;x
PATRONS_SCY.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettre à une divinité particulière et laisser sa puissance guider mon régne.;;;;;;;;;;;;x
PATRONS_SCY.1.a;Xucau, the chief of the Gods;Xucau, le chef des Dieux;;;;;;;;x 
PATRONS_SCY.1.b;Uastyrdzhi, the God of males, travellers and oaths;Uastyrdzhi, le Dieux des males, des voyageurs et des Serments;;;;;;;;x 
PATRONS_SCY.1.c;Wasilla, the God of rain, thunder and lightning;Wasilla, le Dieux de la pluie, de la foudre et de la lumière;;;;;;;;x 
PATRONS_SCY.1.d;There are others...;Il y en a tant d'autres ...;;;;;;;;x 
PATRONS_SCY.2.desc;Choosing any of these as a personal patron saint would be a testament to my piety.;Choisir l'un de ces saint patron personnel serait un témoignage de ma piété.;;;;;;;;x 
PATRONS_SCY.2.a;Safa, the God of the hearth chain;Safa, le Dieu du foyer;;;;;;;;x 
PATRONS_SCY.2.b;Faelvaera, the protector of sheep;Faelvaera, le protecteur des moutons;;;;;;;;x 
PATRONS_SCY.2.c;Donbettyr, the God of the waters;Donbettyr, le Dieu des eaux;;;;;;;;x 
PATRONS_SCY.2.d;On second thought...;Après réflexion ...;;;;;;;;x 
patron_wastyrdzhi;Dedicated to Uastyrdzhi;Dédié à Uastyrdzhi;;;;;;x
patron_xucau;Dedicated to Xucau;Dédié à Xucau;;;;;x
patron_wasilla;Dedicated to Wasilla;Dédié à Wasilla;;;;;x
patron_safa;Dedicated to Safa;Dédié à Safa;;;;;x
patron_faelvaera;Dedicated to Faelvaera;Dédié à Faelvaera;;;;;x 
patron_donbettyr;Dedicated to Donbettyr;Dédié à Donbettyr;;;;;x
