patrons_sla;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_sla_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Slavic faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi slave.;;;;;;;;;;;;x
PATRONS_SLA.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettre à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_SLA.1.a;Dazbog, of the sun.;Dazbog, dieu du soleil.;;;;;;;;;;;;x
PATRONS_SLA.1.b;Perun, the might thunderer.;Perun, la puissance du Tonnerre;;;;;;;;;;;;x
PATRONS_SLA.1.c;Porewit, judging with his five heads.;Porewit, celui qui juge avec ces cinq têtes.;;;;;;;;;;;;x
PATRONS_SLA.1.d;There are others...;Il en existe d'autres.;;;;;;;;;;;;x
PATRONS_SLA.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_SLA.2.a;The black god Crnobog.;Le dieu noir Crnobog.;;;;;;;;;;;;x
PATRONS_SLA.2.b;Rod, the ancient father.;Rod, le père de tout ce qui vit.;;;;;;;;;;;;x
PATRONS_SLA.2.c;Jarilo, the reborn.;Jarilo, le renaissant.;;;;;;;;;;;;x
PATRONS_SLA.2.d;On second thought...;Après réflexion.;;;;;;;;;;;;x
patron_dazbog;Dedicated to Dazbog;Dédié à Dazbog;;;;;;;;;;;;x
patron_perun;Dedicated to Perun;Dédié à Perun;;;;;;;;;;;;x
patron_porewit;Dedicated to Porewit;Dédié à Porewit;;;;;;;;;;;;x
patron_crnobog;Dedicated to Crnobog;Dédié à Crnobog;;;;;;;;;;;;x
patron_rod;Dedicated to Rod;Dédié à Rod;;;;;;;;;;;;x
patron_jarilo;Dedicated to Jarilo;Dédié à Jarilo;;;;;;;;;;;;x
