patrons_suo;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_suo_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Suomenusko faith (chamanisme finnois).;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi Suomenusko.;;;;;;;;;;;;x
PATRONS_SUO.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;Je devrais m'en remettre à une divinité particulière et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_SUO.1.a;Jumala, whom all respect.;Jumala, que tous respectent.;;;;;;;;;;;;x
PATRONS_SUO.1.b;Ukko, the highest god.;Ukko, le plus haut des dieux.;;;;;;;;;;;;x
PATRONS_SUO.1.c;Akka, the wife of Ukko.;Akka, femme de Ukko.;;;;;;;;;;;;x
PATRONS_SUO.1.d;There are others...;Il en existe d'autres…;;;;;;;;;;;;x
PATRONS_SUO.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;Toutes ces divinités sont puissantes. Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_SUO.2.a;Kuu, the moon.;Kuu, la Lune.;;;;;;;;;;;;x
PATRONS_SUO.2.b;Antero Vipunen, the wise and magical giant.;Antero Vipunen, le géant au grand savoir magique.;;;;;;;;;;;;x
PATRONS_SUO.2.c;Akras, the god of fertility.;Arkas, dieu de la fertilité.;;;;;;;;;;;;x
PATRONS_SUO.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_jumala;Dedicated to Jumala;Dédié à Jumala;;;;;;;;;;;;x
patron_ukko;Dedicated to Ukko;Dédié à Ukko;;;;;;;;;;;;x
patron_akka;Dedicated to Akka;Dédié à Akka;;;;;;;;;;;;x
patron_kuu;Dedicated to Kuu;Dédié à Kuu;;;;;;;;;;;;x
patron_antero_vipunen;Dedicated to Antero Vipunen;Dédié à Antero Vipunen;;;;;;;;;;;;x
patron_akras;Dedicated to Akras;Dédié à Akras;;;;;;;;;;;;x
