patrons_ten;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_ten_desc;You can choose a personal patron from among the lesser gods of the Tengri faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la fois Tengri.;;;;;;;;;;;;x
PATRONS_TEN.1.desc;Though they are lesser than Tengri, the power of these deities could well inform my rule.;Bien qu'elles soient inférieures à Tengri, la puissance de ces divinités pourrait bien guider mon règne.;;;;;;;;;;;;x
PATRONS_TEN.1.a;The Yer, ancestor spirits.;Le Yer, les esprit des ancêtres.;;;;;;;;;;;;x
PATRONS_TEN.1.b;Kayra, the creator.;Kayra, le créateur.;;;;;;;;;;;;x
PATRONS_TEN.1.c;Gun Ana, the sun.;Gun Ana, le soleil.;;;;;;;;;;;;x
PATRONS_TEN.1.d;There are others...;Il en existe d'autres.;;;;;;;;;;;;x
PATRONS_TEN.2.desc;Choosing any of these as a personal patron saint would be a testament to my piety.;Choisir l'une d'elles comme divinité protectrice serait un témoignage de ma piété.;;;;;;;;;;;;x
PATRONS_TEN.2.a;Ay Dede, the moon.;Ay Dede, la lune.;;;;;;;;;;;;x
PATRONS_TEN.2.b;Ulgan, patron of shamans.;Ulgan, grand-esprit des chamanes.;;;;;;;;;;;;x
PATRONS_TEN.2.c;Ulmay, the earth mother.;Ulmay, la terre mère.;;;;;;;;;;;;x
PATRONS_TEN.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_yer;Dedicated to the Yer;Dédié au Yer;;;;;;;;;;;;x
patron_kayra;Dedicated to Kayra;Dédié à Kayra;;;;;;;;;;;;x
patron_gun_ana;Dedicated to Gun Ana;Dédié à Gun Ana;;;;;;;;;;;;x
patron_ay_dede;Dedicated to Ay Dede;Dédié à Ay Dede;;;;;;;;;;;;x
patron_ulgan;Dedicated to Ulgan;Dédié à Ulgan;;;;;;;;;;;;x
patron_umay;Dedicated to Umay;Dédié à Umay;;;;;;;;;;;;x
