patrons_wes;Choose a Patron Deity;Choisissez une divinité protectrice;;;;;;;;;;;;x
patrons_wes_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the West African faith.;Vous pouvez choisir une divinité protectrice parmi les puissants dieux et déesses de la foi Ouest-africaine.;;;;;;;;;;;;x
PATRONS_WES.1.desc;I should dedicate myself to particular aspect of my religion, and let it benefit my rule.;Je devrais m'en remettrer à un aspect particulier de ma religion, et laisser mon règne bénéficier de son influence.;;;;;;;;;;;;x
PATRONS_WES.1.a;The Nsamanfo, our ancestors.;Le Nsamanfo, l'esprit de nos ancêtres.;;;;;;;;;;;;x
PATRONS_WES.1.b;Tano, the god of rivers and war.;Tano, le dieu des rivières et de la guerre.;;;;;;;;;;;;x
PATRONS_WES.1.c;The Abosom, the divine spirits.;L'Abodosom, les esprits divins.;;;;;;;;;;;;x
PATRONS_WES.1.d;There are others...;Il en existe d'autres…;;;;;;;;;;;;x
PATRONS_WES.2.desc;Choosing these as my patron would be a testament to the power of my dynasty.;Choisir l'une d'elles comme divinité protectrice serait un témoignage de la puissance de ma dynastie.;;;;;;;;;;;;x
PATRONS_WES.2.a;The spider Anansi, collector of stories.;L'araignée Anansi, collectionneuse d'histoires.;;;;;;;;;;;;x
PATRONS_WES.2.b;Nyame, he who knows and sees everything.;Nyame, lui qui sait et voit tout.;;;;;;;;;;;;x
PATRONS_WES.2.c;Asase Ya, divine wife of Nyame.;Asase Ya, la divine épouse de Nyame.;;;;;;;;;;;;x
PATRONS_WES.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_nsamanfo;Dedicated to the Nsamanfo;Dédié au Nsamanfo;;;;;;;;;;;;x
patron_tano;Dedicated to Tano;Dédié à Tano;;;;;;;;;;;;x
patron_abosom;Dedicated to the Abosom;Dédié à l'Abosom;;;;;;;;;;;;x
patron_anansi;Dedicated to Anansi;Dédié à Anansi;;;;;;;;;;;;x
patron_nyame;Dedicated to Nyame;Dédié à Nyame;;;;;;;;;;;;x
patron_asase_ya;Dedicated to Asase Ya;Dédié à Asase Ya;;;;;;;;;;;;x
