patrons_zor;Choose a Patron Angel;Choisissez un ange protecteur;;;;;;;;;;;;x
patrons_zor_desc;You can choose a personal patron from among the Amesha Spentas of the Zoroastrian faith.;Vous pouvez choisir un ange protecteur parmi les  Amesha Spentas de la foi Zoroastrienne.;;;;;;;;;;;;x
PATRONS_ZOR.1.desc;I should dedicate myself to a particular angel and let their power inform my rule.;Je devrais m'en remettre à un ange protecteur et laisser sa puissance guider mon règne.;;;;;;;;;;;;x
PATRONS_ZOR.1.a;Vohu Manah, good mind.;Vohu Manah,la Bonté;;;;;;;;;;;;x
PATRONS_ZOR.1.b;Khshathra Vairya, desirable dominion.;Khshathra Vairya, véritable Pouvoir qui donne amour et harmonie;;;;;;;;;;;;x
PATRONS_ZOR.1.c;Haurvatat, perfection.;Haurvatat, la perfection.;;;;;;;;;;;;x
PATRONS_ZOR.1.d;There are others...;Il en existe d'autres.;;;;;;;;;;;;x
PATRONS_ZOR.2.desc;Choosing any of these as a personal patron saint would be a testament to my piety.;Choisir l'un eux comme protecteur serait un témoignage de ma piété.;;;;;;;;;;;;x
PATRONS_ZOR.2.a;Asha Vahishta, truth.;Asha Vahishta, la vérité.;;;;;;;;;;;;x
PATRONS_ZOR.2.b;Armaiti, the spirit of serenity.;Armaiti, l'esprit de la sérénité.;;;;;;;;;;;;x
PATRONS_ZOR.2.c;Ameretat, immortality.;Ameretat, l'immortalité.;;;;;;;;;;;;x
PATRONS_ZOR.2.d;On second thought...;Après réflexion…;;;;;;;;;;;;x
patron_vohu_manah;Dedicated to Vohu Manah;Dédié à Vohu Manah;;;;;;;;;;;;x
patron_khshathra_vairya;Dedicated to Khshathra Vairya;Dédié à Khshathra Vairya;;;;;;;;;;;;x
patron_haurvatat;Dedicated to Haurvatat;Dédié à Haurvatat;;;;;;;;;;;;x
patron_asha_vahishta;Dedicated to Asha Vahishta;Dédié à Asha Vahishta;;;;;;;;;;;;x
patron_armaiti;Dedicated to Armaiti;Dédié à Armaiti;;;;;;;;;;;;x
patron_ameretat;Dedicated to Ameretat;Dédié à Ameretat;;;;;;;;;;;;x
