#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunken_tournament;Drunken Fool;Imbécile ivre;Drunken Fool;;Bufón beodo;;;;;;;;;x
drunken_tournament_desc;You once showed up drunk to a tournament and made such a shameful spectacle of yourself that you had to be thrown out.;Vous vous êtes une fois montré ivre à un tournoi, ce fut un spectacle si honteux que vous en avez été mis à la porte. ;You once showed up drunk to a tournament and made such a shameful spectacle of yourself that you had to be thrown out.;;Una vez apareciste en un torneo y diste un espectáculo tan bochornoso que tuvieron que echarte.;;;;;;;;;x
EVTDESC70000;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to participate in the tourney of [From.Capital.GetName], where Knights and Lords shall test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetFirstName] [Root.GetOnlyDynastyName], par la présente je vous invite à participer au tournoi de [From.Capital.GetName], où chevaliers et seigneurs prouveront leur valeur.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to participate in the tourney of [From.Capital.GetName], where Knights and Lords shall test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], por la presente te invito a participar en el torneo de [From.Capital.GetName], donde caballeros y señores habrán de probar sus bríos.\n\n Atentamente,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC70001;It is time to let the tournament begin and for the next months let all show their martial brilliance.;C'est l'heure de commencer le tournoi, chacun pourra montrer son aptitude au combat lors des prochains mois.;Die Zeit für das Turnier ist gekommen. Für die nächsten Monate kann jeder seine Talente in der Kampfkunst zur Schau stellen.;;Es hora que empiece el torneo. Durante los próximos meses, todos podrán demostrar su habilidad marcial.;;;;;;;;;x
EVTDESC70003;The Tourney ends and although I may not have won any of the melee events my prowess in the lists did not go unnoticed.;Le tournoi s'achève et même si je n'ai remporté aucune des mélées, mes prouesses dans les lices ne sont pas passées inaperçues. ;The Tourney ends and although I may not have won any of the melee events my prowess in the lists did not go unnoticed.;;El torneo acaba y aunque no haya ganado ninguna de las pruebas mi posición en el escalafón no pasa inadvertido.;;;;;;;;;x
EVTDESC70004;The Tourney ends and I have shown time and time again my skill at arms. Despite not winning, I prevailed against many knights in the lists, covering myself in glory.;Le Tournoi s'achève et j'ai montré à plusieurs reprises mes talents dans la maîtrise des armes. Bien que je n'ai pas gagné, j'ai prévalu contre de nombreux chevaliers dans les lices, me couvrant de gloire. ;The Tourney ends and I have shown time and time again my skill at arms. Despite not winning, I prevailed against many knights in the lists, covering myself in glory.;;El torneo acaba y has mostrado una y otra vez tu habilidad con las armas. Aún sin ganar, prevaleciste frente a muchos caballeros en la lid, obteniendo tu parte de gloria.;;;;;;;;;x
EVTDESC70005;The Tourney ends and I failed to display my full prowess. I won a handful of tilts against lesser men, but was soundly beaten in the later lists.;Le Tournoi s'achève et je ne suis pas parvenu a montré toute ma valeur. J'ai remporté une poignée de combats contre des hommes de moindre valeur, mais j'ai été sévèrement battu dans les dernières lices.  ;The Tourney ends and I failed to display my full prowess. I won a handful of tilts against lesser men, but was soundly beaten in the later lists.;;El torneo acaba y no lograste exhibir tu auténtica capacidad. Ganaste un puñado de lides frente a hombres menores, pero fuiste ampliamente vencido en las últimas lides.;;;;;;;;;x
EVTDESC70006;The Tourney ends and I was vanquished in the early rounds. I can still hear the scorn of the crowd, after I was unhorsed time after time.;Le Tournoi s'achève et j'ai été vaincu dans les premiers tours. Je peux encore entendre le mépris et les railleries de la foule à chaque fois qu'on me désarçonnait. ;The Tourney ends and I was vanquished in the early rounds. I can still hear the scorn of the crowd, after I was unhorsed time after time.;;El torneo acaba y fuiste vencido en las primeras rondas. Aún puedes oír el desdén de la multitud tras ser derribado del caballo una y otra vez.;;;;;;;;;x
EVTDESC70008;I was enjoying the tournament when someone special caught my eye. We attended several events together and I expressed an interest in seeing them more often.;I was enjoying the tournament when someone special caught my eye. We attended several events together and I expressed an interest in seeing them more often.;I was enjoying the tournament when someone special caught my eye. We attended several events together and I expressed an interest in seeing them more often.;;Estabas disfrutando del torneo cuando alguien especial captó tu atención. Asististeis juntos a varios eventos y expresaste tu interés en verle más a menudo.;;;;;;;;;x
EVTDESC70031;I was simply passing time at the tournament when I came across two knights arguing over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed, so I stepped in and prevented it.;Lors du tournoi, j’ai surpris la conversation de deux chevaliers qui débattaient de la question de l’honneur. J’ai très vite compris qu’ils ne parviendraient pas à se mettre d’accord et que le sang allait couler. J’ai réagi pour éviter qu’une telle chose arrive.;I was simply passing time at the tournament when I came across two knights arguing over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed, so I stepped in and prevented it.;;Estabas pasando el tiempo en el torneo cuando coincidiste con dos caballeros que discutían sobre el honor. Viste claramente que los argumentos eran espúreos y que podrían fácilmente derivar en un baño de sangre, así que decidiste intervenir.;;;;;;;;;x
EVTDESC70034;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has been crowned the winner of my tourney.;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a été couronné vainqueur de mon tournoi.;[From.GetTitledFirstName] [From.GetOnlyDynastyName] has been crowned the winner of my tourney.;;[From.GetTitledFirstName] [From.GetOnlyDynastyName] ha sido nombrado campeón del torneo.;;;;;;;;;x
EVTDESC70035;[From.GetTitledFirstName] [From.GetOnlyDynastyName]'s bravery won [From.GetHerHim] second place in my tourney.;[From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a bravement remporté la seconde place de mon tournoi. ;[From.GetTitledFirstName] [From.GetOnlyDynastyName]'s bravery won [From.GetHerHim] second place in my tourney.;;El valor de [From.GetTitledFirstName] [From.GetOnlyDynastyName] le ha merecido el segundo puesto en el torneo.;;;;;;;;;x
