#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### TRAITS;;;;;;;;;;;;;;x
age_1;+1 Year;+1 An;+1 Jahr;;+1 Año;;;;;;;;;x
age_2;+2 Years;+2 Ans;+2 Jahre;;+2 Años;;;;;;;;;x
age_4;+4 Years;+4 Ans;+4 Jahre;;+4 Años;;;;;;;;;x
age_8;+8 Years;+8 Ans;+8 Jahre;;+8 Años;;;;;;;;;x
age_16;+16 Years;+16 Ans;+16 Jahre;;+16 Años;;;;;;;;;x
age_32;+32 Years;+32 Ans;+32 Jahre;;+32 Años;;;;;;;;;x
age_1_desc;Adds 1 year of age to your character.;;;;;;;;;;;;;x
age_2_desc;Adds 2 years of age to your character.;;;;;;;;;;;;;x
age_4_desc;Adds 4 years of age to your character.;;;;;;;;;;;;;x
age_8_desc;Adds 8 years of age to your character.;;;;;;;;;;;;;x
age_16_desc;Adds 16 years of age to your character.;;;;;;;;;;;;;x
age_32_desc;Adds 32 years of age to your character.;;;;;;;;;;;;;x
commander1;Respected Commander;;;;;;;;;;;;;x
commander2;Distinguished Commander;;;;;;;;;;;;;x
commander3;Renowned Commander;;;;;;;;;;;;;x
commander4;Legendary Commander;;;;;;;;;;;;;x
commander1_desc;This character is a respected military command veteran (tier 1 of 4);;;;;;;;;;;;;x
commander2_desc;This character is a distinguished military command veteran (tier 2 of 4);;;;;;;;;;;;;x
commander3_desc;This character is a military command veteran renowned for their many victories (tier 3 of 4);;;;;;;;;;;;;x
commander4_desc;This military commander has seen many wars and proven themselves victorious against the enemy time and time again. They are a legendary military command veteran (tier 4 of 4);;;;;;;;;;;;;x
conqueror;Conqueror;;;;;;;;;;;;;x
conqueror_desc;This character is a famed conqueror and has been known to stop at nothing to get what they want.;;;;;;;;;;;;;x
inheritance_disabled;Cannot Inherit;;;;;;;;;;;;;x
inheritance_disabled_desc;This character cannot inherit landed titles.;;;;;;;;;;;;;x
roma_victrix;Roma Victrix;;;;;;;;;;;;;x
roma_victrix_desc;This character has achieved the mighty feat of restoring the Roman Empire to its peak historical borders and beyond.;;;;;;;;;;;;;x
traveling;Traveling;;;;;;;;;;;;;x
traveling_desc;This character is currently away from home, traveling for business or pleasure;;;;;;;;;;;;;x
