#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
hold_an_aonach_tailteann;Hold Aonach Tailteann;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
hold_an_aonach_tailteann_desc;The games were founded, by Lugh Lámhfhada, the Ollamh Érenn, as a mourning ceremony for the death of his foster-mother Tailtiu, the event is held during the last fortnight of July and culminates with the celebration of Lughnasadh.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
tailteann_invite;You send invitations to the Aonach;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
TAILTEANNTITLE;Aonach Tailteann;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1190;A courier has come forth inviting all free men and women of the realm to attend a grand Aonach Tailteann, the like of which is only seen once per reign.;Un coursier est venu inviter tous les hommes et femmes libres du Royaume à participer à un grand Aonach Teltainn, de ceux qui ne sont organisés qu’une fois au cours d’un règne.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1190;A perfect opportunity to prove ourselves;L’occasion de prouver notre valeur.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.1190;I prefer to worship my ancestors in private.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1191;It is time for the Aonach Tailteann, for the next month let us all show our respect for the dead and our might in the games.;Avec le tournoi, chacun pourra, au cours des deux mois à venir, afficher son excellence martiale.;Es ist an der Zeit, das Turnier zu beginnen. Die nächsten 2 Monate sollen alle ihre kriegerischen Fähigkeiten unter Beweis stellen.;;Es hora de que el torneo nos deleite durante dos meses con la brillantez de sus combates.;;;;;;;;;x
EVTOPTAancrel.1191;This is the time;L’heure est venue.;Die Zeit ist gekommen;;Esta es la ocasión.;;;;;;;;;x
EVTOPTBancrel.1191;Sadly a small war will delay this;Malheureusement, une petite guerre le retardera.;Leider wird es von einem kleinen Krieg verzögert;;Por desgracia, una guerra aplazará el evento.;;;;;;;;;x
EVTDESCancrel.1192;The grand Aonach Tailteann of [From.GetTitledName] has been cancelled due to war.;Le grand Aonach Tailteann de [From.GetTitledName] a été annulé à cause de la guerre.;Das große Aonach Tailteann von [From.GetTitledName] wurde wegen des Krieges abgesagt.;;El Gran Aonach Tailteann de [From.GetTitledName] se ha cancelado debido a la guerra.;;;;;;;;;x
EVTOPTAancrel.1192;How dare they interrupt this celebration!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1193;I have sent forth messengers around the realm to spread the word that a grand Aonach Tailteann will be held;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1193;The Aonach Tailteann begins soon;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1194;As I draw my last breath I remember the Aonach Tailteann. Alas, what irony!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1194;I hope my subjects will remember me as a benevolent ruler;J'espère que mes sujets se souviendront de moi comme d'un dirigeant bienveillant.;Ich hoffe, meine Untertanen werden mich als einen gütigen Herrscher in Erinnerung behalten;;Espero que mis súbditos me recuerden como un gobernante benevolente.;;;;;;;;;x
EVTTOOLTIPancrel.1195;Your vassals will be informed of your untimely death;Vos vassaux seront informés de votre mort prématurée.;Eure Vasallen werden über Euren vorzeitigen Tod in Kenntnis gesetzt ;;Tus vasallos serán informados sobre tu prematura muerte.;;;;;;;;;x;
EVTDESCancrel.1195;Dear [Root.GetTitledFirstName], due to [From.GetTitledFirstName]'s untimely death the Aonach Tailteann unfortunately has been cancelled.\n\nSigned, \n[Root.Liege.GetTitledFirstName];Cher [Root.GetTitledFirstName], en raison de la mort inattendue de [From.GetTitledFirstName], l'Aonach Tailteann a malheureusement été annulé.\n\nSigné, \n[Root.Liege.GetTitledFirstName];[Root.GetTitledFirstName], aufgrund von [From.GetTitledFirstName]s vorzeitigem Tod, wurde das Aonach Tailteann leider abgesagt.\n\nGezeichnet, \n[Root.Liege.GetTitledFirstName];;Querido [Root.GetTitledFirstName], lamento informarte que la Aonach Tailteann queda suspedido debido a la prematura muerte de [From.GetTitledFirstName].\n\nFirma, \n[Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTAancrel.1195;And I had so looked forward to this!;Oh non, j'avais tellement hâte d'assister à cet Aonach !;Und ich hatte mich so darauf gefreut! ;;¡Tan ansiosamente había esperado esto!;;;;;;;;;x;
EVTDESCancrel.1196;While the bards sing songs for the dead, you are offered a small votive figurine of wood to put in the bonfire, to whom shall you dedicate it? ;Alors que les bardes chantent la vie des défunts, vous êtes offert une petite figurine en bois, à qui la dédié vous ?;Ihr habt Euch entschlossen, einen großen Runenstein in Auftrag zu geben, der von zukünftigen Generationen betrachtet werden kann. Was soll in den Runenstein graviert werden?;;Has decidido encargar y levantar una gran piedra rúnica para que contemplen las generaciones futuras. ¿Qué debería tallarse en ella?;;;;;;;;;x
EVTOPTAancrel.1196;It shall burn in memory of [Root.Father.GetTitledFirstName], my departed father.;Elle brulera à la mémoire de [Root.Father.GetTitledFirstName], mon défunt père.;Er soll zu Ehren meines verstorbenen Vaters [Root.Father.GetTitledFirstName] errichtet werden.;;Debe alzarse en memoria de [Root.Father.GetTitledFirstName], mi difunto padre.;;;;;;;;;x
EVTOPTBancrel.1196;It shall burn in memory of [Root.Mother.GetTitledFirstName], my beloved mother.;Elle brulera à la mémoire de [Root.Mother.GetTitledFirstName], ma défunte mère.;Er soll zu Ehren meiner geliebten Mutter [Root.Mother.GetTitledFirstName] errichtet werden.;;Debe alzarse en memoria de [Root.Mother.GetTitledFirstName], mi querida madre.;;;;;;;;;x
honor_dead_tailteann;You wrap the votive offering in cloth that belonged to the deceased.Vous envelopez la figurine à l'intérieur d'un tissu appartenant au défunt;;;;;;;;;x
EVTNAMEancrel.1197;In Memory of [Root.Father.GetFirstName];En mémoire de [Root.Father.GetFirstName];In Erinnerung an [Root.Father.GetFirstName];;En memoria de [Root.Father.GetFirstName];;;;;;;;;x
EVTDESCancrel.1197;The great bonfire has been lighted and it is now time for the offerings. You squeeze the figurine in your hand and think of your father \n\nYou throw the offering in the fire, content in the knowledge that your father's soul is safe with [From.Religion.GetRandomGodName].;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1197;The fire was hot;Elle est parfaite !;Perfekt!;;¡Es perfecto!;;;;;;;;;x
EVTNAMEancrel.1198;In Memory of [Root.Mother.GetFirstName];En mémoire de [Root.Mother.GetFirstName];In Erinnerung an [Root.Mother.GetFirstName];;En memoria de [Root.Mother.GetFirstName];;;;;;;;;x
EVTDESCancrel.1198;The great bonfire has been lighted and it is now time for the offerings. You squeeze the figurine in your hand and think of your mother. \n\nYou throw the offering in the fire, content in the knowledge that your mother's soul is safe with [From.Religion.GetRandomGodName].;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1198;The fire was hot;Elle est parfaite !;Perfekt!;;¡Es perfecto!;;;;;;;;;x
EVTDESCancrel.1199;In the fiery light of the mighty bonfire, the bards sing while various offerings are made for the deceased. Tomorrow, the Ollamh will spend the day distributing new laws for the people. The content of these laws will greatly influence how your reign is viewed.;Dans la lumière ardente du grand feu, les bardes continus de chanter les exploits des défunts alors que plusieurs hommes et femmes font des offrandes pour leurs défunts. Demain, l'ollamh passera la journée à proclamer les nouvelles lois pour le peuple.;;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1199;I will favor the nobles;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTBancrel.1199;I will favor the bards and the druids;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTCancrel.1199;I will favor the merchants;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTDancrel.1199;I will treat everyone equaly;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTEancrel.1199;I will favor the crown;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTFancrel.1199;I will favor the fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTGancrel.1199;I will favor the birds!;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
give_laws_ollam;The Ollamh distribues the new laws to your vassals\n;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_warriors;Favors the Warrior caste;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_druids;Favors the Druidic caste;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_merchants;Favors the Merchant caste;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_balance;Treats every caste equaly;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_crown;Favors the Crown;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_fianna;Favors the Fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
favored_birds;Favors the Birds;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1200;The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. "By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The noble families will get expanded rights in the..."\nThe new laws seem heavily biased towards the warrior castes.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1200;Very Well;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.1201;The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. "By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The noble Druids and Filidh will have the right to ..."\nThe new laws seem heavily biased towards the druidic castes.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1201;Very Well;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
