#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mend_great_schism_catholic;Mend the Great Schism;Mettre fin au Grand Schisme;Heile das Große Schisma;;Reparar el Gran Cisma;;;;;;;;;x
mend_great_schism_catholic_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under our rule to the Catholic faith, there may be a chance to finally reunite Christendom.;L'Église chrétienne s'est vu divisée en deux lignées par le Grand Schisme, mais si la totalité des cinq sièges épiscopaux de la Pentarchie peuvent être rétablis sous le règne de Rome et de la foi orthodoxe, il y a peut-être une chance de réunir enfin la C;Das Große Schisma sah die christliche Kirche in zwei Teile zerfallen, doch wenn alle fünf episkopalen Arme der Pentarchie wieder unter römischer Herrschaft und in orthodoxem Glauben vereint sind, besteht eine Chance, das Christentum wieder zu vereinen.;;El Gran Cisma dividió la Iglesia Cristiana en dos ramas, pero si las cinco sedes episcopales de la Pentarquía pueden ser recuperadas bajo el dominio romano y la fe ortodoxa, podría haber una oportunidad de reunir finalmente la cristiandad.;;;;;;;;;x
EVTTOOLTIPCathSchism.100;The Great Schism is mended and Christendom reunited.;Le Grand Schisme est terminé et toutes les églises chrétiennes sont réunies.;Das Große Schisma wurde geheilt und das Christentum wieder vereint.;;El Gran Cisma terminó y se reunió cristiandad.;;;;;;;;;x
EVTNAMECathSchism.100;The Great Schism Mended;La Fin du Grand Schisme;Das Große Schisma wurde geheilt ;;El Gran Cisma terminado;;;;;;;;;x
EVTDESCCathSchism.100;At last the Great Schism between the Western Catholic Church and the Eastern Orthodox Church has been mended. With the spread of Catholicism and the reunification of the Pentarchy, including the vital episcopal see of Constantinople, the Orthodox faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the Pentarchy can once more claim universal rule over all of Christendom.;Enfin le Grand Schisme entre l'Église catholique d'Occident et l'Église orthodoxe d'Orient est terminé. Avec l'expansion de l'orthodoxie et la réunification de la Pentarchie, incluant l'important siège épiscopal de Rome, la foi catholique n'a plus la même;Endlich wurde das Große Schisma zwischen der westlichen katholischen Kirche und der östlichen orthodoxen Kirche geheilt. Mit der Ausbreitung der Rechtgläubigkeit und der Wiedervereinigung der Pentarchie, unter Einbindung aller fünf Episkopale Roms, hat de;;Por fin, el Gran Cisma entre la Iglesia Católica Occidental y la Iglesia Ortodoxa Oriental ha sido reparado. Con la expansión de la Ortodoxia y la reunificación de la Pentarquía, incluida la vital sede episcopal de Roma, la fe católica tiene ahora poca influencia sobre la gente en Europa. Habrá quienes todavía se aferren a ella, pero serán pocos en número y la  Pentarquía puede reclamar una vez más el dominio universal sobre toda la cristiandad.;;;;;;;;;x
EVTOPTACathSchism.101;If that's the way the wind is blowing...;Si c'est ainsi que le vent souffle...;Daher also weht der Wind ...;;Parece que es por donde sopla el viento ...;;;;;;;;;x
EVTOPTBCathSchism.101;I will never give up my faith!;Jamais je ne renierai ma foi !;Ich werde meinen Glauben niemals aufgeben!;;¡Nunca abandonaré mi fe!;;;;;;;;;x
EVTDESCCathSchism.102;With the now under Catholic control, the Patriarchate of Antioch has been properly restored as one of the episcopal sees of the Pentarchy in the Western Catholic Church. It was originally founded by Saint Peter the Apostle, who is regarded as the first Pope by the Western Catholic Church.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat d'Antioche a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint Pie;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Antiochien, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Apostel Petrus gegrü;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Antioquía ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental, la cual fue originalmente fundada por San Pedro Apóstol, considerado el primer Papa de la Iglesia católica occidental.;;;;;;;;;x
EVTDESCCathSchism.103;With the city now under Catholic control, the Patriarchate of Jerusalem has been properly restored as one of the episcopal sees of the Pentarchy in the Western Catholic Church. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat de Jérusalem a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint J;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Jerusalem, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Jakobus, dem Gerechte;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Jerusalén ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental, la cual fue originalmente fundada por Santiago el Justo, que fue nombrado jefe de la Iglesia en Jerusalén poco después de la  muerte de Jesús.;;;;;;;;;x
EVTDESCCathSchism.104;With the city now under Catholic control, the Patriarchate of Alexandria has been properly restored as one of the episcopal sees of the Pentarchy in the Western Catholic Church. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat d'Alexandrie a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint M;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Alexandrien, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Evangelist Markus g;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Alejandría ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental, que originalmente fue fundada por San Marcos Evangelista, el primer patriarca de Alejandría. ;;;;;;;;;x
EVTDESCCathSchism.105;With the city now under Catholic control, the Patriarchate of Constantinople has been properly restored as one of the episcopal sees of the Pentarchy in the Western Catholic Church. If all five historical patriarchates are returned to the Pentarchy, the Great Schism between the Eastern and Western churches may finally be mended.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat de Rome a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Si les cinq patriarcats historiques sont re;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat Roms, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Wenn alle fünf Patriarchate wieder der Pentarchie zugehörig sind,;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Roma ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental. Si los cinco patriarcados históricos son devueltos a la Pentarquía, el Gran Cisma entre las iglesias orientales y occidentales finalmente podrá ser reparado.;;;;;;;;;x
