#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
hold_divination;Hold a divination!;Tenir une divination;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
hold_divination_desc;Hold a divination together with your vassals and offer sacrifice to the gods to divine our future. This can only be done every fifth year.;Tenez un grand blót accompagné de vos vassaux et offrez des sacrifices aux dieux en remerciement pour les bonnes récoltes et pour le succès sur le champ de bataille. Cela ne se fait qu'une fois à tous les neuf ans.;Haltet mit Euren Vasallen ein Blót ab und dankt den Göttern für gute Ernten und Erfolge auf dem Schlachtfeld. Dies kann nur jedes neunte Jahr durchgeführt werden.;;Celebrar una gran mancha junto con tus vasallos y ofrecer sacrificios a los dioses por buenas cosechas y el éxito en el campo de batalla. Esto sólo puede hacerse cada nueve años.;;;;;;;;;x
held_divination_modifier;Sacrificed to the Gods;Offert en sacrifice aux dieux;Den Göttern geopfert;;Sacrificado a los Dioses;;;;;;;;;x
prepare_divination;You begin preparations for the divination.\n;Vous commencez les préparatifs pour le blót;Ihr beginnt Vorbereitungen für das Opfer.;;Empiezas la preparación de la mancha.;;;;;;;;;x
divination_begins;The Vates ready their weapons.;Le bourreau prépare sa corde.\n;Der Henker bereitet das Seil vor.;;El verdugo prepara su cuerda.;;;;;;;;;x
divination_begin;The divination begins;Tenir une divination ;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
opinion_refused_divination;Refused to Give Offering for divination;Refus de donner une offrande au blót;hat sich geweigert, ein Opfer für Blót darzubringen;;Se negó a dar Ofrenda para la Mancha;;;;;;;;;x
EVTDESCancrel.0020;You have sent out summons to all of your vassals for the divination. Those that have been baptized or profess to follow the teachings of the Prophet will have to offer gold to be exempted from this sacred ceremony.;Vous avez envoyé un avis de convocation à tous vos vassaux pour le blót. Ceux qui ont été baptisés ou qui affirment suivre l'enseignement du prophète devront offrir de l'or pour être exemptés de ce festin majestueux. ;Ihr habt all Eure Vasallen zum Blót zusammengerufen. Diejenigen, die getauft wurden oder den Lehren des Propheten folgen, müssen Gold anbieten, um von diesem großartigen Festschmaus fernbleiben zu können.;;Has enviado citaciones a todos tus vasallos para la mancha. Los que han sido bautizados o profesan seguir las enseñanzas del profeta tendrán que ofrecer oro para quedar exentos de esta magnífica fiesta.;;;;;;;;;x
EVTOPTAancrel.0020;I can hardly wait!;Je ne peux plus attendre !;Ich kann es kaum erwarten!;;¡No puedo esperar!;;;;;;;;;x
EVTTOOLTIPancrel.0021;Summoned to celtic divination.;Convoqué(e) au blót;Zur Teilnahme am Blót gerufen.;;Convocado a mancha.;;;;;;;;;x
EVTTOOLTIPancrel.0022;Exempted from celtic divination.;Exempté(e) du blót;Vom Blót ausgeschlossen.;;Exentos de mancha.;;;;;;;;;x
EVTDESCancrel.0021;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a celtic divination. There you will worship and give sacrifice to the gods before taking part in a ceremony where you learn the fate the gods have in stock.;Votre sage seigneur, [From.GetTitledFirstName], vous a convoqué(e) vous et ses autres vassaux pour assister au blót. Vous y vénérerez les dieux et vous leur ferez des offrandes avant de prendre part à un grand festin où vous boirez en leur nom.;Euer weiser Lehnsherr, [From.GetTitledFirstName], hat Euch und [From.GetHerHis] anderen Vasallen zu einem Blót herbeigeordert. Dort werdet Ihr den Göttern huldigen und ihnen opfern, bevor Ihr an einem gewaltigen Festschmaus teilnehmt, wo Ihr auf ihren Namen anstoßen werdet.;;Tu sabio señor, [From.GetTitledFirstName], te ha convocado a ti y a [From.GetHerHis] otros vasallos a una mancha. Allí podrás adorar y dar sacrificio a los dioses antes de tomar parte en una gran fiesta donde se bebe en su nombre.;;;;;;;;;x
EVTOPTAancrel.0021;I wouldn't miss it.;Je ne veux pas manquer ça.;Das will ich nicht verpassen.;;No me lo perdería.;;;;;;;;;x
EVTDESCancrel.0022;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a divination where [From.GetSheHe] intends to give sacrifice to [From.GetHerHis] pagan gods. Since you do not practise their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;Votre seigneur, [From.GetTitledFirstName], demeure prisonnier de ses mœurs païennes et a convoqué tous ses vassaux à assister au blót lors duquel [From.GetSheHe] compte faire des offrandes à ses dieux païens. Puisque vous ne pratiquez pas la religion païenne, vous devrez donner de l'or pour être exempté de cette cérémonie. ;Euer Lehnsherr, [From.GetTitledFirstName], ist weiterhin gefangen in [From.GetHerHis] ketzerischen Pfaden und [From.GetSheHe] hat nun all [From.GetHerHis] Vasallen zu einem Blót herbeigeordert, bei dem [From.GetSheHe] [From.GetHerHis] heidnischen Göttern Opfergaben darbringen will. Da Ihr diese heidnische Religion nicht praktiziert, wird erwartet, dass Ihr Gold beisteuert, um euch von dieser Zeremonie freizukaufen.;;Tu señor, [From.GetTitledFirstName], sigue atrapado en [From.GetHerHis] formas paganas, y ahora [From.GetSheHe] ha convocado a todos [From.GetHerHis] vasallos a una mancha donde [From.GetSheHe] tiene la intención de dar sacrificio a [From.GetHerHis] dioses paganos. Dado que no practicas su religión pagana, se espera que contribuyas con oro con el fin de quedar exento de esta ceremonia.;;;;;;;;;x
EVTOPTAancrel.0022;I suppose I have no choice in the matter.;J'imagine que je n'ai pas la choix.;Da habe ich wohl keine andere Wahl.;;Supongo que no tengo otra opción.;;;;;;;;;x
EVTOPTBancrel.0022;As [This.Religion.GetRandomGodNameCap] is my witness, I shan't pay!;[This.Religion.GetRandomGodNameCap] m'en est témoin, je ne paierai pas !;[This.Religion.GetRandomGodNameCap] sei mein Zeuge, ich werde nicht zahlen!;;Como [This.Religion.GetRandomGodNameCap] es mi testigo, ¡no pagaré!;;;;;;;;;x
EVTTOOLTIPancrel.0023;Your payment is received.;Votre paiement a été reçu. ;Eure Zahlung wurde erhalten.;;Tu pago es recibido.;;;;;;;;;x
