#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MOVEMENT_SPEED;Movement Speed;Vitesse de déplacement;Bewegungsgeschwindigkeit;;;;;;;;;;;x
EXPERIMENTALITY;Experimentality;Imprévisibilité;Unberechenbarkeit;;;;;;;;;;;x
CU_LIGHT_INFANTRY;Light Foot Troops;Infanterie légère;Leichte Infanterie;;;;;;;;;;;x
CU_HEAVY_INFANTRY;Heavy Foot Troops;Infanterie lourde;Schwere Infanterie;;;;;;;;;;;x
CU_CAVALRY;Mounted Troops;Cavalerie;Kavallerie;;;;;;;;;;;x
MORALE_DEFENCE;Morale Defence;Maintien du moral;Verteidigungsmoral;;;;;;;;;;;x
#MORALE_OFFENCE;Morale Offence;Ébranlement du moral adverse;Angriffsmoral;;;;;;;;;;;x
DAMAGE;Damage;Dégâts;Schaden;;;;;;;;;;;x
PURSUIT;Pursuit;Poursuite;Verfolgung;;;;;;;;;;;x
RETREAT;Retreat;Retraite;Rückzug;;;;;;;;;;;x
MARTIAL_INFLUENCE;Martial Influence;Influence martiale;Einfluss der Kriegskunst;;;;;;;;;;;x
#DAMAGE_COMBAT_MODIFIER;Damage Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur des dégâts de §Y$WHO$§!: $PERC$;Gefechts-Schadensmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#PURSUIT_COMBAT_MODIFIER;Pursuit Combat Modifier of §Y$WHO$§!: $PERC$;Efficacité des poursuites de §Y$WHO$§!: $PERC$;Gefechts-Verfolgungsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#RETREAT_COMBAT_MODIFIER;Retreat Combat Modifier of §Y$WHO$§!: $PERC$;Efficacité des retraites de §Y$WHO$§!: $PERC$;Gefechts-Rückzugsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#DEFENCE_COMBAT_MODIFIER;Defence Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur de la défense de §Y$WHO$§!: $PERC$;Gefechts-Verteidigungsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#EXPERIMENT_COMBAT_MODIFIER;Experimentality Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur d'imprévisibilité de §Y$WHO$§!: $PERC$;Gefechts-Unberechenbarkeitsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
