#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;
donate_money_to_fianna;Donate money to the Fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
donate_money_to_fianna_desc;I can donate money to the Fianna in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
donate_money_to_red_dragons;Donate money to the Red Dragon Knights;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
donate_money_to_red_dragons_desc;I can donate money to the Red Dragon Knights in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
expel_red_dragons;Expel the Red Dragon Knights;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
expelled_d_fianna;Expelled the Fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
expelled_d_red_dragons;Expelled the Red Dragon Knights;FRENCH;GERMAN;SPANISH;;;;;;;;;;;x
d_red_dragons;Red Dragon;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
d_wolftails;Wolftails;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
d_fianna;Fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
nick_the_wolf;The Wolf;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
nick_the_boar;The Boar;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
celtic_knight;Dragon;Dragon;;;;;;;;;;;;x
celtic_knight_desc;This character is a veteran of the Red Dragon Order.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
fian;Fennid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
fian_desc;This character is a veteran of the Fianna warbands.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
organize_gwydion;Organize the Sons of Gwydion;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
organize_gwydion_desc;Recruit landless warriors into an elite band of brothers that will defend the great Britain.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
gwydion_organized;The Fianna is formed.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
organize_fianna;Organize the Fianna;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
organize_fianna_desc;Recruit landless warriors into an elite band of brothers that will defend their fellow Gaels.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
fianna_organized;The Fianna is formed.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTNAMEancrel.0110;The Sons of Gwydion;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTDESCancrel.0110;You have decided to found the Sons of Gwydion, a sacred order of warriors loyal only to the Druids and their Circle, dressed in wolf skins over mail and venerating the famed trickster Gwydion.\n\nThis new Order will not only form a powerful shock force against britain's many enemies, but will also channel the fiery spirits of the younger, restless sons of [Root.GetTitle].;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0110;Go my wolflings.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
