BM_HUNGARY;Hungary-Croatia;;;;Hungría-Croacia;;;;;x
BM_HUNGARY_DESC;The death of the Ilyena Árpád, the childless Queen of Croatia, passes her Kingdom on to her brother László, King of Hungary. The union of Hungary-Croatia brings strength to the Magyars, but will László and this new-formed Baltic union be able to stand the test of time? Elsewhere in the world, Yusuf Almoravid, Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest--and if possible, reverse--the conquests that the kingdom of León-Castille has managed against the Muslims of Iberia.;;;;La muerte sin hijos de Ilyena Árpád, Reina de Croacia, otorga el reino a su hermano László, Rey de Hungría. La unión de ambos reinos dará fuerza a los magiares, pero ¿podrá László y esta nueva unión báltica resistir el paso del tiempo?\nEn otra parte del mundo, Yusuf Almoravid, Sultán de Mauritania, ha comenzado a unir los pueblos del norte de África y el sur de Iberia. Intenta contener, -y si es posible, revertir-, las conquistas logradas por el reino de Castilla-León contra los musulmanes.;;;;;x
BM_THE_ISLES;King of Dublin and the Isles;;;;Rey de Dublín y las Islas;;;;;x
BM_THE_ISLES_DESC;Gudrød Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hårdråde at Stamford Bridge, but Gudrød Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Gudrod is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;;;;Gudrød Covran, descendiente de noruegos e irlandeses ha logrado expandir el reino de Mann y las Islas para incluir su reino, por derecho de nacimiento, de Dublín. La época de conquistas noruegas terminó hace tiempo, con el fracaso de Harald Hårdråde en el Puente de Stamford, pero Gudrød piensa recuperar las glorias del pasado. Desde su posición en Dublín aspira a ser Ard Rí ua Éire, Gran Rey de Irlanda. Aunque Gudrød también debe preocuparse de Malcolm Dunkeld, rey de Escocia, que le disputa el derecho a las islas.;;;;;x
BM_NORWAY_1;The Collapse of the Isles;;;;El Colapso de las Islas;;;;;x
BM_NORWAY_1_DESC;The Kingdom that Gudrød Crovan worked his entire life to create is no more. Dead of the plague, Gudrød's Kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Gudrød's old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather the Hårdråde and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;;;;El reino que Gudrød Crovan forjó en vida ya no existe. Muerto por la plaga, su reino se ha fracturado. El rey Magnus III de Noruega ha reafirmado su hegemonía sobre algunos territorios, aunque Galloway y Dublín se han independizado. El norte está cambiando: ¿Será capaz Magnus de vengar a su abuelo Hårdråde y aterrorizar de nuevo las costas de Albión, o logrará Edgar, joven rey de Escocia, aprovecharse de la transición?;;;;;x
BM_EDGE_OF_KNIFE;The Edge of the Knife;;;;El filo del cuchillo;;;;;x
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of León-Castilla barely holding on to the north of España, and the Kingdom of Aragón-Navarra and the Duchy of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenoi have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Duchy of Armenia Minor. Iberia or Anatolia, Castille or Byzantium: will the heathens succeed in breaking the iron walls of Christianity to finally breech the interior of Europe?;;;;El mundo occidental está al borde del desastre. En Iberia, el Sultanato Almorávide ha logrado una victoria casi total, con Alfonso, rey de Castilla-León, apenas resistiendo en el norte, junto con el Reino de Aragón y Navarra, y el ducado de Barcelona. Al otro lado del Mediterráneo, los esfuerzos de los nuevos emperadores Komnenoi no son suficientes para resistir al Turco, dirigidos por el Sultán Kilij Arslan, que ya han tomado la mayor parte de Anatolia y observan ávidos el Ducado independiente de Armenia Menor. Iberia o Anatolia. Castilla o Bizancio: ¿triunfarán los infieles contra los muros de hierro de la cristiandad y abrirán una brecha hasta el interior de Europa?;;;;;x
BM_ANTIOCH;The First Crusade;;;;La primera cruzada;;;;;x
BM_ANTIOCH_DESC;The Levant reels in the aftermath of the bloody conflict that is the First Crusade. In the north, the Principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Thoros, the Orthodox Duke of Armenia Minor, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;;;;El Levante sufre los coletazos del sangriento conflicto que fue la Primera Cruzada. En el norte, los principados de Antioquía y Edesa compiten por la supremacía, frente a los musulmanes y entre ellos. El Príncipe de Antioquía, Bohemond, está en constantes disputas con Thoros, el duque ortodoxo de Armenia Menor, cuyas tierras ha usurpado. En el sur, el naciente reino de Jerusalén hace malabarismos entre el debilitado Califato Fatimid, el gran Emirato de Damasco y una miríada de sheikhs menores que le separan de los príncipes del norte. ¿Podrán los católicos aguantar lo suficiente para unirse, o habrá que proclamar una nueva cruzada para proteger Tierra Santa?;;;;;x
BM_JERUSALEM;Jerusalem at its Height;;;;Jerusalén en la cima;;;;;x
BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem's size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds....;;;;Jerusalén se alza fuerte y orgullosa. Ha absorbido el reino de Antioquía y se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza del reino son una ventaja para el dominio católico del Levante, aún no hay nada seguro. Damasco y Alepo hacen de colchón frente al masivo Sultanato Selúcida al Este, mientras el Califato Fatimid saca partido al debilitado Egipto. Jerusalén tiene muchos enemigos, y sus aliados están lejos. En la lejanía se oye el grito de la Jihad...;;;;;x
BM_KOMNENOS;Manuel Komnenos;;;;Manuel Komnenos;;;;;x
