#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
EVTDESC250277;Your [GetFromRelation] [From.GetTitledFirstName] has died. By the laws of inheritance you will receive [From.GetHerHis] royal relic, bear it with honour;Votre [GetFromRelation] [From.GetTitledFirstName] a décrété dans son testament que l’épée familiale devait vous revenir, maniez-la avec honneur.;;;Has heredado de [Root.GetTitledFirstName] su famosa espada de acero valyrio, úsala con honor;;;;;;;;;x
EVTOPTA250277;It shall be done;Il en sera ainsi;;;Así se hará;;;;;;;;;x
treasure_cauldron;The Cauldron of Dyrnwch the Giant;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_cauldron_desc;If meat for a coward were put in it to boil, it would never boil; but if meat for a brave man were put in it, it would boil quickly.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_chariot;The Chariot of Morgan Mwynfawr;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_chariot_desc;If a man went in it, he might wish to be wherever he would, and he would be there quickly.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_chessboard;The Chessboard of Gwenddoleu ap Ceidio;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_chessboard_desc;If the pieces were set, they would play by themselves. The board was of gold, and the men of silver.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_coat;The Coat of Padarn Beisrudd;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_coat_desc;If a well-born man put it on, it would be the right size for him; if a churl, it would not go upon him.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_crock_and_dish;The Crock and Dish of Rhygenydd Ysgolhaig;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_crock_and_dish_desc;Whatever food might be wished for in them, it would be found.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_dyrnwyn;Dyrnwyn, the Sword of Rhydderch Hael;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_dyrnwyn_desc;If any man drew it except himself, it burst into a flame from the cross to the point, and all who asked it received it, but because of this property all shunned it, and therefore was he called Rhydderch Hael.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_halter;The Halter of Clydno Eiddyn;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_halter_desc;Which was fixed to a staple at the foot of his bed: whatever horse he might wish for, he would find in the halter.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_hamper;The Hamper of Gwyddno Garanhir;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_hamper_desc;Food for one man would be put in it, and when it was opened, food for a hundred men would be found in it.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_horn;The Horn of Brân Galed;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_horn_desc;Whatever drink might be wished for was found in it;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_knife;The Knife of Llawfrodedd the Horseman;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_knife_desc;Which would serve for twenty-four men to eat at table.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_mantle_arthur;The Mantle of Arthur;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_mantle_arthur_desc;Whoever was under it could not be seen, and he could see everyone.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_mantle_tegau;The Mantle of Tegau Gold-Breast;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_mantle_tegau_desc;For all unchaste women the mantle will not cover them, nor will it maintain a single colour.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_stone_and_ring;The Stone and Ring of Eluned the Fortunate;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_stone_and_ring_desc;If her lover wore the ring's stone within his hand and closed his fist about the stone he would be concealed and as long as he concealed the stone its powers would also conceal him.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_whetstone;The Whetstone of Tudwal Tudglyd;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
treasure_whetstone_desc;If a brave man sharpened his sword on the whetstone, then the sword would certainly kill any man from whom it drew blood. If a cowardly man used the whetstone, though, his sword would refuse to draw blood at all.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
