VIETmisc.5000.desc;It's no secret. I'm in love with cinnamon. When I was younger I didn't eat too much of it, but when I did, I enjoyed it greatly. Now that I am older, I can procure as much cinnamon as my treasury can handle. I like the swirls of spicy and sweet in every bite!;;;;;;;;;;;;;x
VIETmisc.5000.a;Who can't see why I love the taste of cinnamon?;;;;;;;;;;;;;x
VIETmisc.5001.tooltip;There's nothing like cinnamon!;;;;;;;;;;;;;x
VIETmisc.5001.title;A Taste of Cinnamon;;;;;;;;;;;;;x
VIETmisc.5001.desc;I have a feast coming up. All my vassals will be there, and many other important nobles of the realm. We will celebrate life and have a good time, and I intend to do that by serving everybody as many savory and sweet cinnamon dishes as possible, including my favorite - cinnamon toasted sticky buns. Everyone will see why I love the taste of cinnamon.\n\nUnfortunately cinnamon is an expensive delicacy. The cost for this otherwise mundane feast will be a bit high. But I crave those crazy spices! I just crave them!;;;;;;;;;;;;;x
VIETmisc.5001.a;The feast will be cinnamon themed, no matter the cost.;;;;;;;;;;;;;x
VIETmisc.5002.tooltip;I can hardly wait! In the meanwhile, I'll eat some cinnamon toasted sticky buns...;;;;;;;;;;;;;x
VIETmisc.5002.title;Cinnamon, Cinnamon Everywhere;;;;;;;;;;;;;x
VIETmisc.5002.desc;The food at the feast was delicious! Cinnamon oil to cook everything in. Cinnamon and garlic flavored fish. Cinnamon sprinkled in soups. Cinnamon in meat pies and sweet pies. Cinnamon spread on bread and fruit. And my favorite, cinnamon and honey-syrup slathered sticky buns! In fact I can't even remember what didn't have cinnamon at the feast.\n\nApparently some of my guests appreciated my tastes. Others didn't, however. I could see it in their eyes. The way their eyes shifted around when they looked at they food. The way they slowly ate it.\n\nHow sad, that there are people who cannot appreciate cinnamon!;;;;;;;;;;;;;x
VIETmisc.5002.a;Some of my courtiers seemed weary and concerned.;;;;;;;;;;;;;x
VIETmisc.5003.tooltip;They seriously think I'm overdoing things. Ha!;;;;;;;;;;;;;x
VIETmisc.5003.title;Cuckoo for Cinnamon;;;;;;;;;;;;;x
VIETmisc.5003.desc;A few of my courtiers told me they were concerned about my eating habits. I eat cinnamon with everything, they claimed! But that of course is certainly not true. I definitely eat other things, I argued.\n\nThey were insistent, however. They said eating too much cinnamon wasn't a good thing, despite whatever healing benefits it may have had, and that I'd regret my irrational addiction.\n\nBut the thing is, I really do eat other things. Do people think I'm insane just because I had a cinnamon-themed feast? Can't they see why I love the taste of cinnamon?;;;;;;;;;;;;;x
VIETmisc.5003.a;That appears to be the case, tragically...;;;;;;;;;;;;;x
