#EASTERN RELIGIONS STUFF ;;;;;;;;;;;;;;x
visited_buddhist_temple;Recently Visited a Buddhist Temple;;;;;;;;;;;;;x
compassionate_loving_kindness_buddhist;Full of Compassion and Loving-Kindness;;;;;;;;;;;;;x
compassionate_loving_kindness_buddhist_desc;This Buddhist ruler is known for his or her kindness, an important virtue in Buddhism.;;;;;;;;;;;;;x
not_compassionate_loving_kindness_buddhist;Has no Compassion and Loving-Kindness;;;;;;;;;;;;;x
not_compassionate_loving_kindness_buddhist_desc;This Buddhist ruler is known for his or her lack of kindness, an important virtue in Buddhism.;;;;;;;;;;;;;x
buddhist_temperance;Buddhist Moderation;;;;;;;;;;;;;x
buddhist_temperance_desc;This Buddhist ruler is temperate in his or her wants and needs, an important virtue in Buddhism.;;;;;;;;;;;;;x
buddhist_gluttony;Lack of Moderation;;;;;;;;;;;;;x
buddhist_gluttony_desc;This Buddhist ruler constantly desires and craves luxurious things, a vice in Buddhism. ;;;;;;;;;;;;;x
buddhist_zeal;Zealous Buddhist;;;;;;;;;;;;;x
buddhist_zeal_desc;Zealous Buddhists try to comply with the Buddhist virtues, the Brahmavihara - loving-kindness, compassion, joy in others' happiness, and equanimity.;;;;;;;;;;;;;x
buddhist_cynicism;Cynical Buddhist;;;;;;;;;;;;;x
buddhist_cynicism_desc;Cynicism about religious affairs is not necessarily disapproved by all Buddhists. The Buddha himself argued that one must approach all teachings with a skeptical mind, and many Buddhist masters wholly disapproved of the religious aspects of their traditions.;;;;;;;;;;;;;x
buddhist.1.desc;To show your devotion to the Dharma and Sangha, or the Buddhist doctrine and community, respectively, you’ve decided to visit one of the major temples in your region. Entering the temple, you observe various routines, such as lighting incense, saying prayers, and engaging in a bit of meditation.;;;;;;;;;;;;;x
buddhist.1.a;Hopefully, I’ll cultivate good merit for this!;;;;;;;;;;;;;x
buddhist.12.desc;Your devotion to the Middle Way has earned you much praise and respect throughout the world. Buddhists around the world are proclaiming you a so-called “Dharma-King,” a protector and propagator of the Buddhist faith and a devout and compassionate practitioner who has dedicated [Root.GetHerHis] life for the benefit of all sentient beings. Whether you can continue upholding such ideals is another matter, but what is certain is that you will forever live on in the annals of history as one of the great Buddhist lords, akin to the noble monarchs of old such as Ashoka or Menander.;;;;;;;;;;;;;x
buddhist.12.name;The Dharma King;;;;;;;;;;;;;x
buddhist.12.a;I will do my best to protect the Buddha, Dharma, and Sangha.;;;;;;;;;;;;;x
aggressive_buddhist;Aggressive Buddhist;;;;;;;;;;;;;x
aggressive_buddhist_desc;This ruler is engaged in a war of aggression, which may upset some of his or her Buddhist subjects.;;;;;;;;;;;;;x
nick_dharma_king;the Dharma King;;;;;;;;;;;;;x
title_saintly_monk;Saintly Monk;;;;;;;;;;;;;x
title_saintly_monk_desc;"Saintly Monk" is a title given to a Buddhist Bhikkhu, or Monk, in recognition of his immense wisdom and great compassion.;;;;;;;;;;;;;x
title_saintly_nun;Saintly Nun;;;;;;;;;;;;;x
title_saintly_nun_desc;"Saintly Nun" is a title given to a Buddhist Bhikkhuni, or Nun, in recognition of her immense wisdom and great compassion.;;;;;;;;;;;;;x
#Dedicating Holy Site ;;;;;;;;;;;;;;x
building_buddhist_holy_site;Currently Building a Buddhist Holy Site;;;;;;;;;;;;;x
built_buddhist_stupa;Built a Stupa;;;;;;;;;;;;;x
built_buddhist_temple;Built a Temple;;;;;;;;;;;;;x
built_buddhist_monastery;Built a Monastery;;;;;;;;;;;;;x
visit_buddhist_temple;Visit a Buddhist Temple;;;;;;;;;;;;;x
visit_buddhist_temple_desc;Pay a visit to one of the local, powerful temples of your realm.;;;;;;;;;;;;;x
visited_buddhist_temple;Recently Visited a Temple;;;;;;;;;;;;;x
visited_buddhist_temple_desc;This Buddhist ruler recently visited a Buddhist temple, where he/she participated in various religious practices.;;;;;;;;;;;;;x
dedicate_holy_site;Dedicate a Buddhist Holy Site;;;;;;;;;;;;;x
dedicate_holy_site_desc;Initiate construction of either a Stupa, Temple, or Monastery in order to bring yourself much karmic merit.;;;;;;;;;;;;;x
buddhist.13.desc;In the past, Buddhist lords have often erected stupas, temples, or monasteries in order to help all sentient beings and increase their own merit. I will do likewise. Having gathered all the necessary resources and men, I will order the construction of a...;;;;;;;;;;;;;x
buddhist.13.a;Stupa;;;;;;;;;;;;;x
buddhist.13.b;Temple;;;;;;;;;;;;;x
buddhist.13.c;Monastery;;;;;;;;;;;;;x
buddhist.14.desc;A stupa is often used to house the blessed relics of a great monk or spiritual teacher. The monks have identified the relics of one such holy man who once lived nearby, and his relics will be stored in this stupa.;;;;;;;;;;;;;x
buddhist.14.a;Now, we simply wait for construction to finish.;;;;;;;;;;;;;x
buddhist.15.tooltip;Construction of the stupa begins;;;;;;;;;;;;;x
buddhist.15.desc;My stupa has finished construction! It is most auspicious that the holy relics can be stored in a good place like this in my own realm. I am glad to have been able to dedicate this stupa.;;;;;;;;;;;;;x
buddhist.15.a;I certainly gained a lot of karmic merit for this, too.;;;;;;;;;;;;;x
buddhist.16.desc;Buddhist temples are important to ensure that monastics and laypeople alike can continue practicing the Dharma and cultivate merit. I have found an excellent location for a new temple, and construction has just begun.;;;;;;;;;;;;;x
buddhist.16.a;We must now wait for it to be completed.;;;;;;;;;;;;;x
buddhist.17.tooltip;Construction of the temple begins;;;;;;;;;;;;;x
buddhist.17.desc;My temple has finally finished construction. How inspiring it is to see the Buddha statue that adorns the main hall! Many will benefit from this temple, which will serve as a spiritual center for the local monks and laypeople.;;;;;;;;;;;;;x
buddhist.17.a;I certainly gained a lot of karmic merit for this, too.;;;;;;;;;;;;;x
buddhist.18.desc;Monasteries are necessary to develop the intellectual and spiritual capabilities of Buddhist monks and nuns. I have located a good site for a new monastery. Soon, this place will be filled with the chanting and reciting of prayers!;;;;;;;;;;;;;x
buddhist.18.a;Until then, we must wait.;;;;;;;;;;;;;x
buddhist.19.tooltip;Construction of the monastery begins;;;;;;;;;;;;;x
buddhist.19.desc;My monastery has finally finished construction. Already, monks and nuns are taking residence within its walls, and they will be able to provide for the spiritual needs of the community.;;;;;;;;;;;;;x
