fantasia.0.desc;Lately, everyone has noticed a lovely young maiden who occasionally comes to attend Church services at the church I go to. But what strikes everybody as amazing is her voice - it is beautiful beyond imagination! Why she is here, and who she is, no one knows.;;;;;;;;;;;x
fantasia.0.a;But she doesn't harm anyone, so we accept her presence.;;;;;;;;;;;;;x
fantasia.1.tooltip;I am fascinated by her...;;;;;;;;;;;x
fantasia.2.title;A Mysterious Disappearance;;;;;;;;;;;;;x
fantasia.2.desc;Where has [From.GetTitledFirstName] gone? No one knows what happened to that youth.\n\nI was in fact the last person to see him. He was there, by the sea, singing beautifully with that mysterious maiden with the lovely voice. They began walking towards the waters, but at that point I figured they may have wanted some privacy, so I left them alone.\n\nMaybe they were lovers, and eloped somewhere?;;;;;;;;;;;x
fantasia.2.a;Who knows. But I have business to attend to...;;;;;;;;;;;;;x
fantasia.3.tooltip;Everyone slowly forgets about [From.GetTitledFirstName]. For all we know, he is dead.;;;;;;;;;;;x
fantasia.3.title;Siren?;;;;;;;;;;;;;x
fantasia.3.desc;Early in the morning, though I'm feeling sleepy, I want to escape the confines of my residence and get some fresh air. I travel to the edge of the sea, to feel the fresh ocean breeze and see the pure waters.\n\nFor my amusement, I walk into the waves getting my feet wet (no matter, my servants will clean me afterwards), and hurl some stones into the ocean, as far as I can, to see how strong I am. I pause, however, as I hear a young woman's voice.\n\nI turn around, and to my shock, I see that very same maiden with the beautiful singing voice, the one I thought eloped away, sitting on one of the nearby rocks. But this time, there's something different about her. I glance down, and to my horror I realize she has no feet, but fish scales.;;;;;;;;;;;x
fantasia.3.a;"Stop that stone-throwing" the mermaid says, smiling.;;;;;;;;;;;;;x
fantasia.4.tooltip;I'm too shocked to say anything, much less apologize.;;;;;;;;;;;x
fantasia.4.title;A Voice Like No Other;;;;;;;;;;;;;x
fantasia.4.desc;The mermaid explains, "You must understand one of the windows to our house is down there, and your stones were causing quite a racket!"\n\n"I... I... I... apologize!" I stutter. "But you... but wait, I thought you and him... we all thought... something happened to both of you?"\n\nShe smiles and says in a sing-song voice, "Worry not about him, he is happy where he is. We are married, and in love now. But... I am rude, to be so brash in the presence of a [Root.GetTitle]. Shall I sing you a song?";;;;;;;;;;;x
fantasia.4.a;Very well...?;;;;;;;;;;;;;x
fantasia.4.b;Yes, yes please!;;;;;;;;;;;;;x
fantasia.5.tooltip;I'm starting to feel... sleepy...;;;;;;;;;;;;;x
fantasia.5.title;Waking Up By The Sea;;;;;;;;;;;;;x
fantasia.5.desc;My servants woke me. Apparently everyone had been searching for me, and I fell asleep on the beach. "Did you see her, that... that creature?" I asked my servants. They shook their heads, confused.;;;;;;;;;;;x
