#EVENTS;;;;;;;;;;;;;;x
VIETmisc.2016.desc;A new cosmetic popular among the noblewomen is made using the egg yolk of from quail eggs instead of the usual chicken eggs. But quail eggs are a rare luxury much more suited for gourmet food. Are these women truly vain?;;;;;;;;;;;x
VIETmisc.2016.a;A useless product!;;;;;;;;;;;;;x
VIETmisc.2016.b;I could've eaten those eggs... ;;;;;;;;;;;;;x
VIETmisc.2016.c;This does not concern me. The fad will pass in time.;;;;;;;;;;;;;x
VIETmisc.2016.d;I think it looks nice on me!;;;;;;;;;;;;;x
VIETmisc.2017.desc;Yesterday was a local traditional festival held annually in the city. During the night, while I was away celebrating, some drunk and inconsiderate revelers dared to egg the front of my house! Now I have to pay to clean it up.;;;;;;;;;;;x
VIETmisc.2017.a;Maybe those hooligans were sent by my business rivals!;;;;;;;;;;;;;x
VIETmisc.2018.desc;Yesterday I went to the local tavern and had too much beer. While drunk I ordered a large amount of pickled eggs to eat with my beer, as I usually do. However, this time, in my drunkeness I must have taken and paid for all the pickled eggs the tavern had. Now do I not only have to deal with my hangover, I have to figure out what to do with these eggs.;;;;;;;;;;;x
VIETmisc.2018.a;Looks like we'll be eating pickled eggs for a while...;;;;;;;;;;;;;x
VIETmisc.2019.desc;Today you visited one of your vassals. While there, both of you dined on a delicious sponge cake... or, at least, it was delicious until both of you nearly choked on eggshells. Now my vassal is highly embarrassed by his cook's incompetency at cooking with eggs.;;;;;;;;;;;x
VIETmisc.2019.a;And he should be!;;;;;;;;;;;;;x
VIETmisc.2019.b;It's no matter, things happen all the time.;;;;;;;;;;;;;x
VIETmisc.2020.desc;For dinner tonight I'll be having deviled eggs. What should be stuffed in these eggs, I wonder? My cook will make them taste good regardless of what's inside them.;;;;;;;;;;;x
VIETmisc.2020.a;Vegetables. Who says abstaining from excess isn't delicious?;;;;;;;;;;;;;x
VIETmisc.2020.b;Meat. I want something to strengthen me!;;;;;;;;;;;;;x
VIETmisc.2020.c;Milk, cream, or cheese. It shall taste richer and fatten me well.;;;;;;;;;;;;;x
VIETmisc.2021.desc;The unbeliever is brought before you to be sentenced. He refuses to repent and change from his erroneous ways. Ha! It is amazing there are people who do not believe in the Dulcinian faith. He is corrupted - but can he still be purified and without being executed?;;;;;;;;;;;x
VIETmisc.2021.a;Death is the only way this wretch can be purified.;;;;;;;;;;;;;x
VIETmisc.2021.b;Spare him. Didn't Jesus teach us to be merciful?;;;;;;;;;;;;;x
VIETmisc.2021.c;The Catholics would hunt and kill us. Let us not be hypocrites.;;;;;;;;;;;;;x
VIETmisc.2022.desc;The Dulcinian faith teaches me that it is acceptable to plunder and kill "good" Christians who support a corrupt hierarchy of clergy or go against us, for we are pure in our belief. Can we truly be pure if we kill our enemies, even if they are corrupt?;;;;;;;;;;;x
VIETmisc.2022.a;Of course! God's creation must be purified.;;;;;;;;;;;;;x
VIETmisc.2022.b;I am starting to have my doubts...;;;;;;;;;;;;;x
VIETmisc.2023.desc;This commoner has nerve! He says your vassal should give him and their other neighbors money. We are good Dulcinians, after all, he argues, who live in an equal society - why does this noble then hoard money and luxuries and refuse to share it with others? However, your vassal refuses to give anything.;;;;;;;;;;;x
VIETmisc.2023.a;Be a good Dulcnian my vassal, share the wealth!;;;;;;;;;;;;;x
VIETmisc.2023.b;Ideals are good, but in the real world we can't always abide by them.;;;;;;;;;;;;;x
VIETmisc.2024.desc;Do you remember that worthless knight, the one who was found guilty of irredeemably corrupt according to Dulcinian doctrine? He was just purified yesterday - that is, his soul redeemed (that is, he was executed most effectively). Now you have all his precious belongings.;;;;;;;;;;;x
VIETmisc.2024.a;Stuff for free! Ah, it's great when people are... "purified".;;;;;;;;;;;;;x
VIETmisc.2024.b;Let's share the knight's things with the needy.;;;;;;;;;;;;;x
VIETmisc.2025.desc;Peasants in one of your provinces accused a minor noble of being corrupt, betraying the Dulcinian doctrine of equality and charity. Wishing to "purify" him, they lynched him, torched his house, and killed his entire family, including his innocent young newborn child!;;;;;;;;;;;x
VIETmisc.2025.a;These damn peasants! They take our faith too seriously!;;;;;;;;;;;;;x
