VIETnarrative.0.desc;The great and mighty Turkish warriors have conquered Constantinople! The Muslim world rings with jubilation and celebration from every mosque, for it was Mohammed who said, “Verily he shall conquer Constantinople. What a wonderful leader will he be, and what a wonderful army will that army be!”\nThe Turks now have a strong foothold in Europe, and with a claim on the old Roman Empire, Europe trembles with a fear not seen since the days when the Germanic hordes swept down into the Roman Empire. And so it is:\n“The spider weaves the curtains in the palace of the Caesars\nthe owl calls the watches in the towers of Afrasiab.”;;;;;;;;;;;;;x
VIETnarrative.0.name;The Fall of Constantinople;;;;;;;;;;;;;x
VIETnarrative.0.a;Oh my...;;;;;;;;;;;;;x
VIETnarrative.0.b;Masha’Allah!;;;;;;;;;;;;;x
VIETnarrative.0.c;A dark day! Has God forsaken us?;;;;;;;;;;;;;x
VIETnarrative.1.desc;It was once the dream of all Jewish people, an unreaching, unattainable dream - that they would, one day, return to and reclaim Jerusalem, their homeland. Now, such a seemingly impossible feat has been accomplished - the Kingdom of Israel has been restored. Under the heroic [Root.GetTitledFirstName] of the great [From.GetOnlyDynastyName], the Jewish people now rule over Jerusalem once more, like in the days of yore. Can the new rulers of the Kingdom of Israel revive the glories of its ancient past - the splendor of Kings David and Solomon, the fearsome strength of Joshua and the Maccabees, the holiness of the old priesthood, and more? Or will Israel be crushed by enemies akin to the Assyrians and Romans? Whatever the fate of the Kingdom of Israel, what is certain that Jews around the world are in jubilation at this good news.;;;;;;;;;;;;;x
VIETnarrative.1.name;Israel Reclaimed;;;;;;;;;;;;;x
VIETnarrative.1.a;I see.;;;;;;;;;;;;;x
VIETnarrative.1.b;The Holy Land, ruled by the Jews!;;;;;;;;;;;;;x
VIETnarrative.1.c;A great day! We truly are the Chosen People!;;;;;;;;;;;;;x
