#CODE;;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;Destroying Rome...;;;;;;;;;;;;;;x
LOADING_GUI_DEF;Pillaging Monanstaries...;;;;;;;;;;;;;;x
LOADING_DATABASES;Preserving Latin...;;;;;;;;;;;;;;x
INIT_MAP_LOGIC;Stamping out the Light...;;;;;;;;;;;;;;x
CREATING_CHKSUM;Spreading Christianity...;;;;;;;;;;;;;;x
CALC_PATHS;Tracing Migration Routes...;;;;;;;;;;;;;;x
GENERATING_COAS;Invading the Limes...;;;;;;;;;;;;;;x
LOADING_HISTORY;Creating the Dark Ages..;;;;;;;;;;;;;;x
LOAD_EVENTS;Spreading the Plaugue...;;;;;;;;;;;;;;x
LOADING_SOUNDS;Beginning the Chants...;;;;;;;;;;;;;;x
PROC_FLAGS;Filling the Library of Alexandria...;;;;;;;;;;;;;;x
LOAD_FLAGS;Receiving the Byzantine Heralds...;;;;;;;;;;;;;;x
LOAD_GFX;Drawing Maps of Old Rome...;;;;;;;;;;;;;;x
CREATING_THE_WORLD;Crossing the Rhine...;;;;;;;;;;;;;;x
CREATING_TREES;Building Huts...;;;;;;;;;;;;;;x
CREATING_BORDERS;Building Ships...;;;;;;;;;;;;;;x
CREATING_RIVERS;Conquering the Saxon Shore...;;;;;;;;;;;;;;x
MAP_PROPERLY_INIT;Receiving Mediterranean Merchants...;;;;;;;;;;;;;;x
CREATING_PROVINCE;Summoning the Heralds...;;;;;;;;;;;;;;x
CREATING_TEXTS;Writing Bibles...;;;;;;;;;;;;;;x
ADAPTING_HISTORY;Making the world stop making sense...;;;;;;;;;;;;;;x
LOAD_CITY;Founding Tolosa...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Gathering the High Council...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Crossing the Dividing Sea...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Celebrating the Blot...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Wandering the Steppes...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Spreading the Plauge...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Preparing Islam...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Gathering the High Council...;;;;;;;;;;;;;;x
LOAD_INIT;Destroying Rome...;;;;;;;;;;;;;;x
LOADING_TIP_0;Oh how the world no longer makes sense!;;;;;;;;;;;;;;x
LOADING_TIP_1;The Barbarians, and the Dark Ages are here to stay.;;;;;;;;;;;;;;x
LOADING_TIP_2;Syragius of Soissons is the last Roman ruler in Northern Gaul, and has one last chance to restore Roman glory before the Franks grind his realm into dust.;;;;;;;;;;;;;;x
LOADING_TIP_3;While the Germanic Arians control great kingdoms the native Chalcedonian Christians are heavily resistant to conversion.;;;;;;;;;;;;;;x
LOADING_TIP_4;The Hepthalites may look strong but they are just the beginning of the terror from the steppes…...;;;;;;;;;;;;;;x
LOADING_TIP_5;The Saxon Invasion of Britain has begun, and Arthur is nowhere to be found.;;;;;;;;;;;;;;x
LOADING_TIP_6;The Emperor in the East, Zeno, is an Isaurian, viewed as distrustful and barbaric by the Greeks.;;;;;;;;;;;;;x
LOADING_TIP_7;Deep in the lands of Odoacer, the Roman Senate continues status quo. Will Rome be reborn as a Republic?;;;;;;;;;;;;;;x
LOADING_TIP_8;Thank Zusk, Ekorovin, Joemit, Erik W, AnaxXiphos for making this possible.;;;;;;;;;;;;;;x
LOADING_TIP_9;If you don't like your current home, Migrate. The grass is always greener on the other side.;;;;;;;;;;;;;;x
LOADING_TIP_10;Clovis, the child of the Chieftain of Salia has a good future...;;;;;;;;;;;;;;x
LOADING_TIP_11;The Bolghar tribes of the Steppes violently fight and migrate, occasionally busting into a bordering nation, raiding and destroying everything.;;;;;;;;;;;;;;x
LOADING_TIP_12;Chalcendonians must be careful, for relations between the Patriarchs of Constantinople and Rome have been tense.;;;;;;;;;;;;;;x
LOADING_TIP_13;Insular Christianity still has that flair of the old celtic ways, but the Pope may demand proper communion.;;;;;;;;;;;;;;x
LOADING_TIP_14;The Sassanids are in a dangerous position, with Mazdakites, Nestorians and Manicheans disrupting the peace.;;;;;;;;;;;;;;x
LOADING_TIP_15;Keep an eye on Mecca...;;;;;;;;;;;;;;x
LOADING_TIP_16;The Restorer of the Western Empire can also restore the Legions.;;;;;;;;;;;;;;x
LOADING_TIP_17;The Bosporans have been practicing some strange religions in Crimea...;;;;;;;;;;;;;;x
LOADING_TIP_18;The Geatish kings have not played a part in the invasions by the Jutes and Saxons. If their mighty nation though was to choose, Britain could be theirs.;;;;;;;;;;;;;;x
LOADING_TIP_19;The Nabateans have since been reduced to peasants, and there kingdom has been lost.;;;;;;;;;;;;;;x
LOADING_TIP_20;Ernakh still lives, and with him, the Huns.;;;;;;;;;;;;;;x
LOADING_TIP_21;The Ghassanids, and their sudden converion to Monophysitism has left them and the Eastern Empire on rought terms, but will the Emperor risk his most valuable buffer state.;;;;;;;;;;;;;;x
LOADING_TIP_22;If you find bugs, tell me.;;;;;;;;;;;;;;x
LOADING_TIP_23;By Germanic steel the Romans fall, but by Roman words are the Germans moved.;;;;;;;;;;;;;;x
LOADING_TIP_24;If the Western Empire falls the Eastern Emperor can task their loyal foederati the Ostrogoths to invade;;;;;;;;;;;;;;x
LOADING_TIP_25;The Himyarites have finally won their century long struggle with Saba, but now, they are surrounded with enemies.;;;;;;;;;;;;;;x
LOADING_TIP_26;Glycerius, a former Emperor is currently a bishop right under Julius Nepos' nose.;;;;;;;;;;;;;;x
