nick_the_stylite;the Stylite;;;;;;;;;;;x
nick_the_schismatic;the Schismatic;;;;;;;;;;;x
nick_the_dismal;the Dismal;;;;;;;;;;;x
nick_the_stylite;the Stylite;;;;;;;;;;;x
nick_the_catholic;'el Catòlic';;;;;;;;;x
nick_the_dieudonne;Dieudonné;;;;;;;;;x
nick_the_hun;the Hun;;;;;;;;;;;x
nick_the_goth;the Goth;;;;;;;;;;;x
nick_the_beautiful;the Beautiful;;;;;;;;;;;x
nick_the_golden_touched;the Golden Touched;;;;;;;;;;;x
nick_the_roman_lover;"the Roman-Lover";;;;;;;;;;;x
nick_the_valiant;"the Valiant";;;;;;;;;;x
nick_the_wolf_head;"the Wolf Head";;;;;;;;;;;x
