#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
king_central_african;Imalik;;;;;;;;;;;x
kingdom_of_central_african;Arrima of;;;;;;;;;;;x
duke_central_african;Ayaz;;;;;;;;;;;x
duchy_of_central_african;Ayazate of;;;;;;;;;;;xx
count_central_african;Rwazia;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MOVEMENT_SPEED;Movement Speed;Vitesse de déplacement;Bewegungsgeschwindigkeit;;;;;;;;;;;x
EXPERIMENTALITY;Experimentality;Imprévisibilité;Unberechenbarkeit;;;;;;;;;;;x
CU_LIGHT_INFANTRY;Light Foot Troops;Infanterie légère;Leichte Infanterie;;;;;;;;;;;x
CU_HEAVY_INFANTRY;Heavy Foot Troops;Infanterie lourde;Schwere Infanterie;;;;;;;;;;;x
CU_CAVALRY;Mounted Troops;Cavalerie;Kavallerie;;;;;;;;;;;x
MORALE_DEFENCE;Morale Defence;Maintien du moral;Verteidigungsmoral;;;;;;;;;;;x
#MORALE_OFFENCE;Morale Offence;Ébranlement du moral adverse;Angriffsmoral;;;;;;;;;;;x
DAMAGE;Damage;Dégâts;Schaden;;;;;;;;;;;x
PURSUIT;Pursuit;Poursuite;Verfolgung;;;;;;;;;;;x
RETREAT;Retreat;Retraite;Rückzug;;;;;;;;;;;x
MARTIAL_INFLUENCE;Martial Influence;Influence martiale;Einfluss der Kriegskunst;;;;;;;;;;;x
#DAMAGE_COMBAT_MODIFIER;Damage Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur des dégâts de §Y$WHO$§!: $PERC$;Gefechts-Schadensmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#PURSUIT_COMBAT_MODIFIER;Pursuit Combat Modifier of §Y$WHO$§!: $PERC$;Efficacité des poursuites de §Y$WHO$§!: $PERC$;Gefechts-Verfolgungsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#RETREAT_COMBAT_MODIFIER;Retreat Combat Modifier of §Y$WHO$§!: $PERC$;Efficacité des retraites de §Y$WHO$§!: $PERC$;Gefechts-Rückzugsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#DEFENCE_COMBAT_MODIFIER;Defence Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur de la défense de §Y$WHO$§!: $PERC$;Gefechts-Verteidigungsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#EXPERIMENT_COMBAT_MODIFIER;Experimentality Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur d'imprévisibilité de §Y$WHO$§!: $PERC$;Gefechts-Unberechenbarkeitsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#LIGHT_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie légère de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Leichte Infanterie: $PERC$;;;;;;;;;;;x
#HEAVY_INFANTRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$;Bonus de combat pour les troupes d'infanterie lourde de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Schwere Infanterie: $PERC$;;;;;;;;;;;x
#CAVALRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$;Bonus de combat pour la cavalerie de §Y$WHO$§! : $PERC$;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Kavallerie: $PERC$;;;;;;;;;;;x
#DEF_BONUS_AGAINST_ENEMY;Defence bonus against enemy flank: $PERC$;Bonus de défense contre les attaques de flanc ennemies : $PERC$;Verteidigungsbonus gegen gegnerische Flanke: $PERC$;;;;;;;;;;;x
#DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ morale damage;Bonus de moral en défense: $PERC$ de moral perdu;Moralbonus auf Verteidigung: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$;Modificateur au maintien du moral de §Y$WHO$§!: $PERC$;Gefechts-Moralbonusmodifikator auf Verteidigung von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#ATT_BONUS_MORALE;Morale Offence bonus: $PERC$ morale damage;Bonus de moral en attaque : $PERC$ pour ébranler le moral adverse;Moralbonus auf Angriff: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_ATT_COMBAT_MODIFIER;Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage;Modificateur à l'ébranlement du moral adverse de §Y$WHO$§!: $PERC$;Gefechts-Moralbonus auf Verteidigung von §Y$WHO$§!: $PERC$ Moralschaden;;;;;;;;;;;x
FLANKING;Flanking;Attaque sur le flanc;Flankenattacke;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cta.1.desc;This war, this opportunity to prove my mettle in combat, has opened my eyes to my true potential as a warrior. My personal combat skills are improving...;;;;En esta guerra he tenido ocasión de probarme en combate y he descubierto mi auténtico potencial. Mi habilidad marcial está mejorando...;;;;;;;;;x
cta.1.opt.1;May [Root.Religion.GetRandomGodNameCap] guide my heart, hand, and steel.;;;;Que [Root.Religion.GetRandomGodNameCap] guíe mi corazón, mi mano y mi acero.;;;;;;;;;x
cta.1.opt.1.CTT;§Y[Root.GetTitledFirstName]§! begins advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! comienza a mejorar su habilidad marcial...\n;;;;;;;;;x
cta.2.desc;I've learned many lessons from this battle. Aside from application of the theoretical tactics my mentors taught me as a boy, I've learned to deftly isolate an opponent in the thick of the front, bring all my focus and concentration to bear upon him, and then, within but a few rounds of melee, swiftly execute him. I'm proud of my clear progression into a greater warrior.;;;;Aprendí mucho de esta batalla. Aparte de la aplicación de las tácticas que me enseñaron mis mentores, he aprendido a aislar a mi oponente en el fragor de la batalla, poner toda mi atención y concentración en abatirle y al fin, con golpes certeros acabar con él. Estoy orgulloso de mi progreso como gran guerrero.;;;;;;;;;x
cta.2.opt.1;Still, I've more lessons to learn.;;;;Todavía tengo lecciones que aprender.;;;;;;;;;x
cta.2.opt.1.CTT;§Y[Root.GetTitledFirstName]§! continues advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! continúa el avance en su habilidad marcial\n;;;;;;;;;x
cta.3.desc;I will remember this battle in its finest detail until the end of my days. [Root.Religion.GetRandomGodNameCap] guided my sword into the hearts of a countless number of my foes, raising cheers and battle-cries from my surrounding men as I cut a path through the enemy. My mastery of personal combat has come a long way. Apparently, I am not the only one to think so.;;;;Recordaré hasta el más mínimo detalle de esta batalla hasta el final de mis días. [Root.Religion.GetRandomGodNameCap] guió mi espada hasta el corazón de mis enemigos, alzando vítores y gritos de batalla entre mis hombres mientras abría paso con mi espada. Mi maestría en combate no tiene parangón. Aparentemente, no soy el único que lo piensa.;;;;;;;;;x
cta.3.opt.1;I'm finally a warrior.;;;;Por fin soy un guerrero.;;;;;;;;;x
cta.3.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.3.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.3.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
cta.13.desc;My combat victory against [FromFrom.GetTitledFirstName] was an insightful challenge to my own tactics. [FromFrom.GetSheHeCap] moved differently than I've come to expect and demonstrated a new, effective combat style to me. At no point was my victory certain, but I learned from [FromFrom.GetObjectPronoun] and finally defeated [FromFrom.GetObjectPronoun]. Certainly, I'm now a finer warrior.;;;;Mi victoria sobre [FromFrom.GetTitledFirstName] ha sido un desafío a mis tácticas. [FromFrom.GetSheHeCap] me sorprendió con nuevos movimientos y un estilo de combate eficaz. En ningún momento estuve seguro de ganar, pero aprendí de [FromFrom.GetObjectPronoun] y conseguí derrotarle. Ahora soy un guerrero más diestro.;;;;;;;;;x
cta.13.opt.1;I'm recognized as a warrior in my own right now.;;;;Ahora soy reconocido como guerrero por derecho propio.;;;;;;;;;x
cta.13.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.13.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.13.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
cta.110.desc;My [GetFromRelation], [From.GetBestName], just earned XP from a combat impulse at the age of [From.GetAgeYears] with the CTA ambition [From.GetAmbition] (Martial: [From.GetMartial]).;;;;Mi [GetFromRelation], [From.GetBestName], ganó experiencia de un combate impulsivo a la edad de [From.GetAgeYears] con la ambición [From.GetAmbition] (Martial: [From.GetMartial]).;;;;;;;;;x
