job_chancellor_jewish_group;Mishneh;Misneh;Misneh;;Misneh;;;;;;;;;x
job_marshal_jewish_group;Aluf;Aluf;Aluf;;Aluf;;;;;;;;;x
job_treasurer_jewish_group;Shalish;Shalish;Shalish;;Shalish;;;;;;;;;x
job_spymaster_jewish_group;Kereti;Kereti;Kereti;;Kereti;;;;;;;;;x
job_spiritual_jewish_group;Court Rav;Rav de la cour;Der Hofrav;;Rav de la corte;;;;;;;;;x
baron_jewish_group;Tifsar;Tifsar;Tifsar;;Tifsar;;;;;;;;;x
count_jewish_group;Rosh;Rosh;Rosh;;Rosh;;;;;;;;;x
duke_jewish_group;Nesi Elohim;Nesi Elohim;Nesi Elohim;;Nesi Elohim;;;;;;;;;x
king_jewish_group;Melek;Melek;Melek;;Melek;;;;;;;;;x
emperor_jewish_group;Gdolei Hador;Gdolei Hador;Gdolei Hador;;Gdolei Hador;;;;;;;;;x
e_arabia_jewish_group;Empire of Judea;Empire of Judea;Empire of Judea;;Empire of Judea;;;;;;;;;x
job_prince_jewish_group;Bekor;Bekor;Bekor;;Bekor;;;;;;;;;x
