#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC60010;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!;Son Excellence [Root.GetTitledName] et tous ses vassaux se sont convertis au Catholicisme !;[Root.GetHerHis]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den katholischen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Católica!;;;;;;;;;x
EVTDESC60011;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;Son Excellence [Root.GetTitledName] et tous ses vassaux se sont convertis à l'Orthodoxie !;[Root.GetHerHis]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den orthodoxen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Ortodoxa!;;;;;;;;;x
EVTDESC60012;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;Son Excellence [Root.GetTitledName] et tous ses vassaux se sont convertis au Sunnisme !;[Root.GetHerHis]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den sunnitischen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Suní!;;;;;;;;;x
EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;Son Excellence [Root.GetTitledName] et tous ses vassaux se sont convertis au Chiisme !;[Root.GetHerHis]e Lordschaft [Root.GetTitledName] und all [Root.GetHerHis]e Vasallen haben konvertiert und den schiitischen Glauben angenommen!;;¡El Gran [Root.GetTitledName] y todos sus vasallos se han convertido y abrazado la fe Chií!;;;;;;;;;x
MONTHLY_PROJECTED_COST;Projected Montly Cost: §Y$COST$§!;Estimation du coût mensuel : §Y$COST$§!;Geschätzte monatliche Kosten: §Y$COST$§!;;Coste Mensual Presupuestado: §Y$COST$§!;;;;;;;;;x
YEARLY_PROJECTED_COST;Projected Yearly Cost: §Y$COST$§!;Estimation du coût annuel : §Y$COST$§!;Geschätzte jährliche Kosten: §Y$COST$§!;;Coste Anual Presupuestado: §Y$COST$§!;;;;;;;;;x
PER_MONTH;§Y$VAL$§! / Month;§Y$VAL$§! / Mois;§Y$VAL$§! / Monat;;§Y$VAL$§! / Mes;;;;;;;;;x
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;I am a King!;Je suis un Roi !;Ich bin ein König!;;¡Soy un Rey!;;;;;;;;;x
INTERACTION_REQUIRES_RECIPIENT_IS_DE_JURE_LIEGE;As a vassal of $LIEGE$, [Recipient.GetBestName] must be my De Jure liege;En tant que vassal de $LIEGE$, [Recipient.GetBestName] doit être mon souverain de jure;Als Vasall von $LIEGE$ ist [Recipient.GetBestName] von Rechts wegen mein Lehnsmann.;;Como vasallo de $LIEGE$, [Recipient.GetBestName] debería ser mi Señor de Iure;;;;;;;;;x
ACCEPT;Accept;Accepter;Zustimmen;;Aceptar;;;;;;;;;x
DECLINE;Decline;Refuser;Ablehnen;;Declinar;;;;;;;;;x
HAS_LESS_RAISED_TROOP_DAYS;Troops Raised less than §Y$DAYS$§! days\n;Troupes levées depuis moins de §Y$DAYS$§! jours\n;Aufgestellte Truppen in den letzten §Y$DAYS$§! Tagen\n;;Tropas reclutadas menos de §Y$DAYS$§! Días\n;;;;;;;;;x
