#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC61152;Your wretch of a former regent that saw you imprisoned on charges of insanity no longer wields any influence at court. The new regent has released you.;Ce mécréant, votre ancien Régent qui vous avait mis en prison pour folie, n'exerce plus aucune influence à la Cour. Le nouveau Régent vous a libéré.;Der Schuft von einem früheren Regenten, der euch wegen angeblichem Wahnsinn einkerkern hat lassen, hat keinen Einfluß mehr am Hof. Der neue Regent hat euch freigelassen.;;El desgraciado de tu anterior regente, el que te encerró bajo la acusación de estar loco, ya no tiene ninguna influencia en la corte. El nuevo regente te ha liberado.;;;;;;;;;x
EVTOPTA61152;Not a moment too soon.;C'est pas trop tôt.;Keinen Augenblick zu früh.;;Cuanto tiempo perdido;;;;;;;;;x
EVTOPTB61152;Watch out, world! Here I come!;Prenez garde, Ô Monde, me voici!;Gib acht, Welt! Jetzt komme ich!;;¡Atended todo el Mundo! ¡Estoy de vuelta!;;;;;;;;;x
EVTDESC61219;You have successfully thwarted your opponent's designs on your regency, and can continue to serve at the pleasure of [Root.Liege.GetTitledFirstName].;Vous avez déjoué avec succès les plans de votre adversaire pour devenir Régent, et vous pouvez continuer à servir sous la volonté de [Root.Liege.GetTitledFirstName].;Ihr habt die Absichten Eures Gegners, Euch die Regentschaft zu klauen, erfolgreich vereitelt und könnt nun weiterhin [Root.Liege.GetTitledFirstName] dienen.;;Has frustrado existosamente las intenciones de tu oponente sobre tu regencia, y puedes continuar sirviando a [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTDESC61245;Like the spineless coward [From.GetSheHe] is, [From.GetTitledFirstName] has refused to rise to your challenge!;Tout lâche qu'[From.GetSheHe] est, [From.GetTitledFirstName] a refusé de relever votre défi.;Der rückratlose Feigling [From.GetTitledFirstName] hat Eure Herausforderung abgelehnt!;;Como [From.GetSheHe] cobarde despreciable que es, ¿[From.GetTitledFirstName] se ha negado a aceptar tu desafío!;;;;;;;;;x
EVTOPTA61245;Milksop! Worm!;Chiffe molle! Vermisseau!;Milchbubi! Wurm!;;¡Gallina!, ¡Gusano!;;;;;;;;;x
EVTDESC61246;In a desperate effort to save [From.GetHerHis] skin, [From.GetTitledFirstName] has decided to abdicate the position of regent to you.;Dans un dernier effort pour sauver sa peau, [From.GetTitledFirstName] a décidé d'abdiquer son titre de Régent en votre faveur.;Um [From.GetHerHis] Haut zu retten, hat [From.GetTitledFirstName] in einem Akt der Verzweiflung die Regentschaft an Euch abgeben.;;En un intento desesperado por salvar su cabeza, [From.GetTitledFirstName] ha decidido cederte su posición como regente.;;;;;;;;;x
EVTOPTA61246;Well, that was easy.;Bien, c'était trop facile.;Na, das war ja einfach.;;Ha sido facil;;;;;;;;;x
EVTDESC61226;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies maimed at your feet, clinging pitifully to life. The day is yours.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît mutilé à vos pieds, s'accrochant à ce qu'il lui reste de vie. Ce jour est le vôtre.;Das Blut Eures Gegners weicht langsam den Boden auf während Ihr euch auf Eurer Schwert lehnt um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt verstümmelt aber gerade noch so am Leben zu Euren Füßen;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace a tus pies, arrastrándose y pidiendo clemencia. Es tu gran día.;;;;;;;;;x
EVTDESC61225;The blood of your opponent seeps into the ground as you lean on your sword to catch your breath. It was a brief and violent struggle, but the poor fool lies dead at your feet.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît sans vie à vos pieds.;Das Blut Eures Gegners weicht langsam den Boden auf während Ihr euch auf Eurer Schwert lehnt um ein bisschen durchschnaufen zu können. Es war ein kurzer und grässlicher Kampf und der arme Narr liegt tot zu Euren Füßen.;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace muerto a tus pies.;;;;;;;;;x
EVTDESC61212;"[Root.Regent.GetFirstName] stabs wildly in the air with [Root.Regent.GetHerHis] dagger, missing you by a hair's breadth as you leap away in panic. Guards rush inside and pull your regent away as [Root.Regent.GetSheHe] screams, ""Why won't you die?!""";"[Root.Regent.GetFirstName] fend l'air devant lui avec sa dague vous ratant d'un cheveux alors que vous esquivez, paniqué. Les gardes se ruent dans la salle et trainent hors de votre vue votre Régent alors qu'[Root.Regent.GetSheHe] hurle : ""Pourquoi ne veux tu pas mourir?!""";"[Root.Regent.GetFirstName] wirbelt [Root.Regent.GetHerHis] Dolch wild durch die Gegend und verfehlt Euch um Haaresbreite während Ihr panisch versucht ihm zu entwischen. Die Wachen stürmen herein und zerren Euren ""Wieso wollt Ihr nicht einfach sterben?!"" schreienden Regenten davon.";;"[Root.Regent.GetFirstName] acuchilla violentamente al aire con su daga, fallando a darte por los pelos de un calvo mientras huyes presa del pánico. Los guardias entran corriendo y le reducen mientras grita ""¡¿Por qué no te mueres?!""";;;;;;;;;x
EVTTOOLTIP61213;Thrown into a dark cell.;Jeté dans une cellule sombre.;In eine dunkle Zelle geworfen worden.;;Encerrádlo en la mazmorra más oscura.;;;;;;;;;x
YEARLY_INCOME_LESS_THAN;Yearly income less than ;Revenus annuels inférieurs à;Jahresinkommen unter;;Ingresos anual inferiores a ;Entrate annuale inferiori a ;;;;;;;;x
YEARLY_INCOME_GREATER_THAN;Yearly income greater than ;Revenus annuels supérieurs à;Jahresinkommen über;;Ingresos anual superiores a ;Entrate annuale superiori a ;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_SETUP;Landed title changes de jure liege;Titre terrien change en seigneur de jure ;Gelandeter Titel verändert de jure Lehnsherren;;El título nobiliario cambia señor de facto;;;;;;;;;x
