#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TITLE_EMPIRE_CREATION_PIETY_COST;You need §R$COST$§! $PIETYNAME$ to create an Empire.;Vous avez besoin de §R$COST$§! de $PIETYNAME$ pour créer un empire.;Ihr braucht §R$COST$§! $PIETYNAME$, um ein Reich zu erschaffen.;;Necesitas §R$COST$§! de $PIETYNAME$ para crear un Imperio.;;;;;;;;;x
muslim_invasion_desc;§Y$TARGET$§! is not of the True Faith - which is all the cause §Y$CLAIMANT$§! needs to invade the §Y$TITLE$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.;§Y$TARGET$§! ne suit pas la vraie foi - c'est suffisant pour que §Y$CLAIMANT$§! envahisse le §Y$TITLE$§!. En cas de succès, tout ce que contrôle §Y$TARGET$§! dans le §Y$TITLE$§! sera capturé ou vassalisé.;§Y$TARGET$§! gehört nicht dem wahren Glauben an - was Grund genug für §Y$CLAIMANT$§! ist, um eine Invasion zu starten. Sollte er Erfolg haben, so wird aller Besitz von §Y$TARGET$§! innerhalb vom §Y$TITLE$§! übernommen oder vasallisiert.;;§Y$TARGET$§! no es de la verdadera fe - por lo cual §Y$CLAIMANT$§! debe invadir el §Y$TITLE$§!. De tener éxito, todo lo que §Y$TARGET$§! controle dentro del §Y$TITLE$§! será anexionado o vasallizado.;;;;;;;;;x
duke_female_iranian;Emira;Émirat;Emirin;;Emira;;;;;;;;;x
count_female_iranian;Shaykhah;Cheykha;Shaykhah;;Jequesa;;;;;;;;;x
baron_female_iranian;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
count_female_arabic;Shaykhah;Cheykha;Shaykhah;;Jequesa;;;;;;;;;x
baron_female_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
king_female_turkish;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
duke_female_turkish;Beylerbayan;Düses;Begum;;Beylerbeya;;;;;;;;;x
count_female_turkish;Bayan;Kontes;Bayan;;Beya;;;;;;;;;x
baron_female_turkish;Timariota;Barones;Timarota;;Timariota;;;;;;;;;x
job_chancellor_west_african;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x
emperor_arabic;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
CALIPHA;Calipha;Califat;Kalifin;;Califa;;;;;;;;;x
MUSLIM_LAW_PASSED_SETUP;Muslim Law Instituted;Loi musulmane instituée;Muslimisches Gesetz eingeführt;;Ley Musulmana Aprobada;;;;;;;;;x
MUSLIM_LAW_PASSED_LOG;§Y$RULER$§! has instituted the §Y$LAW$§! Law in §Y$TITLE$§!.;§Y$RULER$§! a institué la loi §Y$LAW$§! pour le §Y$TITLE$§!.;§Y$RULER$§! hat das §Y$LAW$§! Gesetz in §Y$TITLE$§! eingeführt.;;§Y$RULER$§! ha instituido la  ley §Y$LAW$§! en §Y$TITLE$§!.;;;;;;;;;x
DISBAND_EVENT_FORCES;Event spawned troops disband;Démobiliser les troupes créées par un évènement;Durch Ereignis erschienene Truppen werden aufgelöst;;Disolver las tropas creadas por evento;;;;;;;;;x
