#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IS_NOT_ADULT;Is NOT an Adult;§YN’est pas§! un adulte;Ist NICHT erwachsen;;NO es un adulto;;;;;;;;;x
IS_ADULT;Is an Adult;§YEst§! un adulte;Ist erwachsen;;Es un adulto;;;;;;;;;x
IS_NOT_MARRIAGE_ADULT;Is NOT old enough to Marry;§YN’est pas§! assez âgé pour se marier;Ist NICHT alt genug, um zu heiraten;;NO tiene la edad mínima para casarse;;;;;;;;;x
IS_MARRIAGE_ADULT;Is old enough to Marry;§YEst§! assez âgé pour se marier;Ist alt genug, um zu heiraten;;Está en edad de casarse;;;;;;;;;x
DISEASE_ACTIVATED;Outbreaks of $DISEASE$ can now occur;Une épidémie de $DISEASE$ peut à présent se déclarer;Ausbrüche von $DISEASE$ können nun auftreten;;Pueden aparecer brotes de $DISEASE$;;;;;;;;;x
AIREASON_IS_PRISONER_OF_CHAR;Is prisoner of §Y[GetTitledFirstName]§!;Est prisonnier de §Y[GetTitledFirstName]§!;Ist Gefangener von §Y[GetTitledFirstName]§!;;Es prisionero de §Y[GetTitledFirstName]§!;;;;;;;;;x
SunsetInvasionDLC;Sunset Invasion;Invasion du Soleil Couchant;Invasion aus dem Abendrot;;Invasión del Ocaso;;;;;;;;;x
NOT_COASTAL;This province is not coastal;Cette province n’est pas côtière;Ist KEINE Küstenprovinz;;Esta provincia no es costera;;;;;;;;;x
NOT_FORBIDDEN_LEAD;This councillor is currently not forbidden to lead armies.\n§GClick to recall and forbid your councillor from leading armies.§!;Ce conseiller ne s’est pas vu interdire de diriger une armée.\n§GCliquez pour le rappeler et interdire à ce conseiller d’en diriger une.§!;Diesem Ratsmitglied ist es derzeit erlaubt Armeen anzuführen.\n§GHier klicken, um das Ratsmitglied vom Kommando zu entbinden und das Führen von Armeen zu verbieten.§!;;Este consejero no tiene prohibido dirigir ejércitos.\n§GPulsa para llamar y prohibir a tu consejero que lidere ejércitos.§!;;;;;;;;;x
FORBIDDEN_LEAD;This councillor is currently forbidden to lead armies.\n§GClick to allow this councillor to lead armies.§!;Ce conseiller s’est vu interdire de diriger une armée.\n§GCliquez pour l’autoriser à en diriger une.§!;Diesem Ratsmitglied ist es derzeit verboten Armeen anzuführen.\n§GHier klicken, um dem Ratsmitglied das Führen von Armeen zu erlauben.§!;;Este consejero tiene prohibido dirigir ejércitos.\n§GPulsa para permitir a tu consejero que lidere ejércitos.§!;;;;;;;;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] will be released from prison if [Recipient.GetSubjectPronoun] accepts.§!;§Y[Recipient.GetFirstName] sera libéré(e) de prison si [Recipient.GetSubjectPronoun] accepte.§!;§Y[Recipient.GetFirstName] wird aus dem Gefängnis entlassen, wenn [Recipient.GetSubjectPronoun] akzeptiert.§!;;§Y[Recipient.GetFirstName] será liberado si lo acepta.§!;;;;;;;;;x
opinion_fought_for_claimant;Fought for as Claimant;S'est battu pour le Prétendant;Kämpfte für so Anspruchställer;;Luchó pos como Solicitante;;;;;;;;;x
EVTOPTD9001;Ask politely.;Demander poliment;Höflich anfragen.;;Pedir educadamente.;;;;;;;;;x
EVTDESC9003;My dear [Root.GetTitle],\n\nI have learned that there are certain factions within the realm working to undermine my rule. If you are involved or planning to become so, I trust that your complicity in these matters ends now.\n\nSigned,\n[From.GetTitledName];Très Cher(e) [Root.GetTitle],\n\nJ'ai appris la présence dans notre Royaume de certaines Factions œuvrant à déstabiliser mon pouvoir. Si vous êtes engagé ou comptez vous engagez dans une telle entreprise, je ne peux que vous prier de cesser immédiatement de vous compromettre dans de telles affaires.\n\nSigné,\n[From.GetTitledName];Geschätzter [Root.GetTitle],\n\nIch habe erfahren, dass es innerhalb meines Reiches gewisse Fraktionen gibt, die danach trachten, meine Herrschaft zu untergraben. Solltet Ihr in Betracht ziehen, euch einer solchen Fraktion anzuschließen oder es sogar bereits getan haben, so erwarte ich, dass ihr derartige Ambitionen sofort einstellt.\n\nGezeichnet,\n[From.GetTitledName];;Mi estimado [Root.GetTitle],\n\nHa llegado a mis oídos que hay ciertas facciones en el reino trabajando para acabar con mi gobierno. Si estás envuelto en ellas, o te lo estás pensando, confió en que tu complicidad con estos hechos termine ya mismo.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA9003;Best not to risk it...;Mieux vaut ne pas s'y risquer...;Es ist wohl besser, nichts zu riskieren...;;Mejor no arriesgarse...;;;;;;;;;x
EVTOPTB9003;Ha! This letter was an act of desperation.;Ha ! Cette lettre était un acte de désespoir.;Ha! Dieser Brief war ein Akt der Verzweiflung.;;¡Ja! Esta carta demuestra su desesperación.;;;;;;;;;x
EVTTOOLTIP9023;You forward a polite request.;Vous tentez une requête polie.;Ihr verschickt eine höfliche Aufforderung.;;Envías una educada respuesta.;;;;;;;;;x
EVTDESC9027;Honored [Root.GetTitle],\n\nFine! I do not like this, but for the sake of the continued prosperity of the realm, I will agree to support any faction of yours. Please don't make me regret this.\n\nSigned,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nParfait ! Je n'aime point cela, mais au nom de quiétude et de la prospérité du Royaume, je suis d'accord pourvous apporter mon soutien aux Factions que vous avez rejointe. Ne me faîtes pas regretter cette décision.\n\nSigné,\n[From.GetTitledName];Geehrter [Root.GetTitle],\n\nNun gut. Ich bin nicht begeistert davon, aber zum Wohle des Reiches werde ich jede eurer Fraktionen unterstützen. Bitte sorgt dafür, dass ich es nicht bereue.\n\nGezeichnet,\n[FromGetTitledName];;Honorable [Root.GetTitle],\n\n¡Entendido! Pese a que no me gusta, y con motivo de la continuidad de la prosperidad del reino, estoy de acuerdo en apoyar tus facciones. Por favor no hagas que me arrepienta.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
DATA_COLLECTION_AGREEMENT;Would you like to help us improve Crusader Kings II by collecting data on playing habits and the popularity of downloadable content and mods? If you agree, anonymous data concerning Crusader Kings II will be sent to Paradox Interactive when you play the game. Paradox Interactive will not and can not use this data to find out anything about the users.;Souhaitez-vous nous aider à améliorer Crusader Kings II par la collecte de données concernant les habitudes de jeu, la popularité des contenus téléchargeables (DLC) et les mods ?\nSi vous donnez votre accord, des données anonymes concernant Crusader Kings II seront envoyées à Paradox Interactive pendant votre session de jeu. Paradox Interactive ne peut et ne pourra pas utiliser ces données pour collecter d'autres informations concernant les joueurs;Möchten sie uns helfen, Crusader Kings II noch besser zu gestalten, indem sie uns erlauben, Daten über ihre Spielgewohnheiten sowie benutzte DLCs und Mods zu erheben? Mit ihrem Einverständnis wird Crusader Kings II anonyme Spielinformationen an Paradox Interactive versenden, wenn sie das Spiel spielen. Paradox Interactive kann diese Daten nicht dazu verwenden, um persönliche Informationen über die Nutzer zu erhalten.;;¿Te gustaría ayudarnos a mejorar Crusader Kings II recolectando información sobre los hábitos de juego y la popularidad de los contenidos descargables y mods? Sí aceptas, se enviará información anónima a Paradox Interactive cada vez que inicies Crusader Kings II. Paradox Interactive no usará ni podrá usar esta información para conocer nada sobre los usuarios.;;;;;;;;;x
DATA_COLLECTION_TITLE;Help us Improve Crusader Kings II?;Aidez-nous à améliorer Crusader Kings II;Helfen Sie uns zu verbessern Crusader Kings II?;;Ayúdenos a Mejorar Crusader Kings II?;;;;;;;;;x
