#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2H;Our Imperial administration allows us to revoke our rightful capital of §Y$CAPITAL$§! without objections from the aristocracy.;Notre administration impériale nous permet de révoquer notre capital qui lui revient de §Y$CAPITAL$§! sans objection de la part de l'aristocratie.;Unsere kaiserlichen Verwaltung ermöglicht es uns, unseren rechtmäßigen Hauptstadt §Y$CAPITAL$§! ohne Einwände von der Aristokratie widerrufen.;;Nuestra administración imperial nos permite revocar nuestra capital que le corresponde de §Y$CAPITAL$§! sin objeciones por parte de la aristocracia.;;;;;;;;;x
gothic;Gothic;;;;;;;;;;;x
visigothic;Visigothic;;;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;x
east_germanic;East Germanic;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;x
ARIAN_POPE;Arian Pope;;;;;;;;;;;x
d_arian;The Arian Papacy;;;;;;;;;;;x
d_vandal;Vandal Kingdom;;;;;;;;;;;x
d_vandal_adj;;Vandal;;;;;;;;;;x
PATRIARCH_IN_THE_ADOPTION;Adopted Patriarch;;;;;;;;;;;x
d_adoptianism;Adoptionist Patriarchy;;;;;;;;;;;x
e_hun;Hun;;;;;;;;;;;x
e_hun_ADJ;Hunnic;;;;;;;;;;;x
hunnic;Hunnic;;;;;;;;;;;x
k_visigoths;Visigothica;;;;;;;;;;;x
k_visigoths_ADJ;Visigothic;;;;;;;;;;;x
GOD_FIRE;Fire;;;;;;;;;;;x
GOD_LIGHTNING;Lightning;;;;;;;;;;;x
GOD_SKY;Sky;;;;;;;;;;;x
GOD_EARTH;The Earth;;;;;;;;;;;x
semetic_pagan_reformed;Semetic;;;;;;;;;;;x
semetic_pagan_reformed_DESC;The reformed Semetic faith has a written collection of the proper rituals for nature, and a guide live in harmony with the gods. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y* Head of religion who can call Great Holy Wars\n§Y*§! Can declare Holy Wars against Infidels\n§Y*§! Rulers can change succession laws.\n§Y*§! Defenseive bonuses in Semetic lands.\n§Y*§! Can demand conversion and convert provinces.\n§Y*§! You can declare invasions against infidels.\n§Y*§! The Semetic Pagan faith is Reformed;;;;;;;;;;;x
job_spiritual_semetic_pagan;Shaman;;;;;;;;;;;x
job_spiritual_semetic_pagan_reformed;Shaman;;;;;;;;;;;x
temple_baron_semetic_pagan;Shaman;;;;;;;;;;;x
temple_baron_semetic_pagan_reformed;Shaman;;;;;;;;;;;x
d_semetic_pagan_reformed;The Semetic Templeshipp;;;;;;;;;;;x
d_semetic_pagan_reformed;Semetic;;;;;;;;;;;x
d_ebionites;The Ebionite Church;;;;;;;;;;;x
d_ebionites_ADJ;Rabbinical;;;;;;;;;;;x
EBIONITES_RABI;True Rabi;;;;;;;;;;;x
angles;Angles;;;;;;;;;;;x
gallic;Gallic;;;;;;;;;;;x
DRAOIDH;Draoidh;;;;;;;;;;;x
DRAOIDHESS;Draoidhess;;;;;;;;;;;x
temple_baron_celtic_pagan;Sagart;;;;;;;;;;;x
temple_count_celtic_pagan;Druid;;;;;;;;;;;x
temple_duke_celtic_pagan;Fàisniche;;;;;;;;;;;x
temple_king_celtic_pagan;Archdruid;;;;;;;;;;;x
temple_emperor_celtic_pagan;Draoidh;;;;;;;;;;;x
temple_barony_of_celtic_pagan;Còmhdach of;;;;;;;;;;;x
temple_county_of_celtic_pagan;Roi-stallair of;;;;;;;;;;;x
temple_duchy_of_celtic_pagan;Sorcerate of;;;;;;;;;;;x
temple_kingdom_of_celtic_pagan;Archdruidric of;;;;;;;;;;;x
temple_empire_of_celtic_pagan;The Holy Land of;;;;;;;;;;;x
temple_baron_celtic_pagan_reformed;Sagart;;;;;;;;;;;x
temple_count_celtic_pagan_reformed;Druid;;;;;;;;;;;x
temple_duke_celtic_pagan_reformed;Fàisniche;;;;;;;;;;;x
temple_king_celtic_pagan_reformed;Archdruid;;;;;;;;;;;x
temple_emperor_celtic_pagan_reformed;Draoidh;;;;;;;;;;;x
temple_barony_of_celtic_pagan_reformed;Còmhdach of;;;;;;;;;;;x
temple_county_of_celtic_pagan_reformed;Roi-stallair of;;;;;;;;;;;x
temple_duchy_of_celtic_pagan_reformed;Sorcerate of;;;;;;;;;;;x
temple_kingdom_of_celtic_pagan_reformed;Archdruidric of;;;;;;;;;;;x
temple_empire_of_celtic_pagan_reformed;The Holy Land of;;;;;;;;;;;x
city_baron_celtic_pagan;Small Ceann;;;;;;;;;;;x
city_barony_of_celtic_pagan;Cathair of;;;;;;;;;;;;;x
city_count_Celtic_pagan;Grand Ceann;;;;;;;;;;;x
city_county_of_celtic_pagan;Grand Cathair of;;;;;;;;;;;x
city_duke_celtic_pagan;High Rianaire;;;;;;;;;;;x
city_duchy_of_celtic_pagan;High Rianaireship of;;;;;;;;;;;x
city_king_celtic_pagan;Mighty Ceann;;;;;;;;;;;x
city_kingdom_of_celtic_pagan;Mighty Baile mòr of;;;;;;;;;;;x
city_emperor_celtic_pagan;Ionmhas;;;;;;;;;;;x
city_baron_celtic_pagan_reformed;Small Ceann;;;;;;;;;;;x
city_barony_of_celtic_pagan_reformed;Cathair of;;;;;;;;;;;;;x
city_count_Celtic_pagan_reformed;Grand Ceann;;;;;;;;;;;x
city_county_of_celtic_pagan_reformed;Grand Cathair of;;;;;;;;;;;x
city_duke_celtic_pagan_reformed;High Rianaire;;;;;;;;;;;x
city_duchy_of_celtic_pagan_reformed;High Rianaireship of;;;;;;;;;;;x
city_king_celtic_pagan_reformed;Mighty Ceann;;;;;;;;;;;x
city_kingdom_of_celtic_pagan_reformed;Mighty Baile mòr of;;;;;;;;;;;x
city_emperor_celtic_pagan_reformed;Ionmhas;;;;;;;;;;;x
baron_celtic_pagan;Ridire;;;;;;;;;;;x
barony_of_celtic_pagan;Ridirship of;;;;;;;;;;;x
count_celtic_pagan;Morair;;;;;;;;;;;x
county_of_celtic_pagan;Villageship of;;;;;;;;;;;x
duke_celtic_pagan;Triath;;;;;;;;;;;x
duchy_celtic_pagan;Tribe of;;;;;;;;;;;x
king_celtic_pagan;Ri;;;;;;;;;;x
kingdom_celtic_pagan;Tribeland of;;;;;;;;;;;x
emperor_celtiC_pagan;Ard-rìgh;;;;;;;;;;;x
empire_of_celtic_pagan;Celtic Homeland of;;;;;;;;;;;x
baron_celtic_pagan_reformed;Ridire;;;;;;;;;;;x
barony_of_celtic_pagan_reformed;Ridirship of;;;;;;;;;;;x
count_celtic_pagan_reformed;Morair;;;;;;;;;;;x
county_of_celtic_pagan_reformed;Villageship of;;;;;;;;;;;x
duke_celtic_pagan_reformed;Triath;;;;;;;;;;;x
duchy_celtic_pagan_reformed;Tribe of;;;;;;;;;;;x
king_celtic_pagan_reformed;Ri;;;;;;;;;;x
kingdom_celtic_pagan_reformed;Tribeland of;;;;;;;;;;;x
emperor_celtiC_pagan_reformed;Ard-rìgh;;;;;;;;;;;x
empire_of_celtic_pagan_reformed;Celtic Homeland of;;;;;;;;;;;x
job_chancellor_celtic_pagan;Seannsalair;;;;;;;;;;;x
job_spymaster_celtic_pagan;Brath;;;;;;;;;;;x
job_treasurer_celtic_pagan;Rianadair;;;;;;;;;x
job_marshal_celtic_pagan;Curaidh;;;;;;;;;;;x
job_spiritual_celtic_pagan;Court Druid;;;;;;;;;;;x
celtic_pagan;Celtic;;;;;;;;;;;x
celtic_pagan_reformed;Celtic;;;;;;;;;;;x
celtic_pagan_reformed_DESC;The reformed Celtic faith combined the multitude of gods from the British Isles to Southern Spain. A large set of Holy Books have all the required phrases for a druid to learn, and the proper ritual holidays. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y* Head of religion who can call Great Holy Wars\n§Y*§! Can declare Holy Wars against Infidels\n§Y*§! Rulers can change succession laws.\n§Y*§! Defenseive bonuses in Celtic lands.\n§Y*§! Can demand conversion and convert provinces.\n§Y*§! You can declare invasions against infidels.\n§Y*§! The Celtic Pagan faith is Reformed;;;;;;;;;;;x
celtic_pagan_DESC;Celtic polytheism, commonly known as Celtic paganism, comprises the religious beliefs and practices adhered to by the Iron Age peoples of Western Europe now known as the Celts, roughly between 500 BCE and 500 CE, spanning the La Tène period and the Roman era, and in the case of the Insular Celts the British and Irish Iron Age. Celtic polytheism was one of a larger group of Iron Age polytheistic religions of the Indo-European family. It comprised a large degree of variation both geographically and chronologically, although "behind this variety, broad structural similarities can be detected" allowing there to be "a basic religious homogeneity" amongst the Celtic peoples.The Celtic pantheon consists of numerous recorded theonyms, both from Greco-Roman ethnography and from epigraphy. Among the most prominent ones are Teutatis, Taranis and Lugus. The most salient feature of Celtic religion as reflected in Roman historiography is their extensive practice of human sacrifice. According to Greek and Roman accounts, in Gaul, Britain and Ireland, there was a priestly caste of specialists known as the druids, although very little is definitely known about them.;;;;;;;;;;;x
germanic_pagan;Germanic;;;;;;;;;;;x
germanic_pagan_reformed;Germanic;;;;;;;;;;;x
germanic_pagan_desc;Germanic Paganism is a diverse and one of the most original branched of paganism, never conquered by Romans, Germanic Polythiesm thrived in Spain and Germany. Bearing multiple similar dieties to the Norse, Germanic Paganism is the oldest branch of this line.;;;;;;;;;;;x
germanic_pagan_reformed_desc;The reformed Germanic faith contains a holy book of gods and holy sites, a guide to proper rituals and a handbook for the yearly feasts.;;;;;;;;;;;x
e_new_kingdom;The New Kingdom;;;;;;;;;;;x
e_new_kingdom_ADJ;Egyptian;;;;;;;;;;;x
temple_baron_egyptian_pagan;Priest;;;;;;;;;;;x
temple_count_egyptian_pagan;Lord-Priest;;;;;;;;;;;x
temple_duke_egyptian_pagan;High Priest;;;;;;;;;;;x
temple_king_egyptian_pagan;Archpriest;;;;;;;;;;x
egyptian_pagan_DESC;The Egyptian Polythiesm was one of the world's first organized religions, bearing a wide pantheon, the dieties reflected the stable society of which the Nile River provided. Quickly assimilated by the Romans, temples to Isis sprung up as far North as Britain. Defining features in-game: \n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries;;;;;;;;;;;x
egyptian_pagan;Egyptian;;;;;;;;;;;x
BM_END_EMPIRE;The End of An Empire;;;;;;;;;;;x
BM_END_EMPIRE_DESC;The Roman Empire is falling, barbarians on all sides, heathans pour into the heart of civilization. Under Alaric 1, the Visigoths seek to raid Rome while the Ostrogoths seek more long term ownership. In the turmoil, the Vandal are taking southern Italy.;;;;;;;;;;;x
nick_the_hun;the Hun;;;;;;;;;;;x
nick_the_goth;the Goth;;;;;;;;;;;x
k_ostrogoth;Ostrogothica;;;;;;;;;;;x
k_ostrogoth_ADJ;The Ostrogothic Kingdom;;;;;;;;;;;x
temple_baron_hellenic_pagan;Priest;;;;;;;;;;;x
temple_baron_hellenic_pagan_female;Vestal Virgin;;;;;;;;;;;x
temple_count_hellenic_pagan;Augur;;;;;;;;;;;x
temple_duke_hellenic_pagan;Pontifex;;;;;;;;;;;x
temple_king_hellenic_pagan;High Augur;;;;;;;;;;;x
