#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;An election is held in $TITLE$.\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;The Anti-Papacy of §Y$ANTIPOPE$§! has ended.;L'anti papauté de §Y$ANTIPOPE$§! a pris fin.;Gegenpapsttum der §Y$ANTIPOPE$§! ist beendet.;;El antipapado de §Y$ANTIPOPE$§! ha terminado.;;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;Best Claimant;Meilleur prétendant;Besten Titelforderer;;Mejor pretendiente;;;;;;;;;x
CRUSADE_DESC_DRO_3;Since there are good $RELIGION$ claimants to the Crown of §Y$TITLE$§!, all gained territory will be given to the strongest candidate - currently §Y$RULER$§!. Claimants who contribute to the war are prioritized.;Comme il y a de bonnes prétendants $RELIGION$ a la couronne de §Y$TITLE$§!, tout le territoire conquis será donné a le plus forte candidat - actuellement §Y$RULER$§!. Les prétendants qui contribuent a la guerre sont priorisés.;Weil es gute $RELIGION$ Titelförderer für die Krone von §Y$TITLE$§! gibt, wird alles erüberter Territorium an der stärkste Kandidat gegeben - in dieses Moment §Y$RULER$§!. Titelförderer die an den Krieg beitragen haben Priorität.;;Como hay buenos pretendientes $RELIGION$ a la corona de §Y$TITLE$§!, todo el territorio conquistado se dará al candidato más fuerte – actualmente §Y$RULER$§!. Pretendientes que contribuyen a la guerra se priorizarán.;;;;;;;;;x
restore_pope_in_rome;Restore the Papacy in Rome;Restaurer la papauté;Papsttum Wiederstellen;;Restorar el papado;;;;;;;;;x
restore_pope_in_rome_desc;The Holy Father has lost control of his secular domain, but it is within my power to restore the Eternal City to him!;Le Saint-Père a perdu le contrôle de son domaine séculier, mais il est en mon pouvoir pour rétablir la Ville Éternelle pour lui!;Das Heilige Vater hat seinen Weltlichen Domain verloren , aber ich kan ihn die Ewige Stadt zurückgeben!;;El Santo Padre ha perdido su dominio terrenal, pero yo tengo el poder de devolverle la Ciudad Eterna!;;;;;;;;;x
opinion_restored_to_rome;Restored to Rome;Restauré á Rome;In Rom wiedergestellt;;Restorado en Roma;;;;;;;;;x
opinion_creator_of_rel_heal;Created my Office;Crée mon poste;Schuf meine Post;;Creó mi oficio;;;;;;;;;x
EVTDESC_SOA_2609;This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.;Cet ordre de chevaliers doit son nom à Santiago Matamore, ou saint Jacques Matamore comme on le connaît dans d'autres parties du monde. L'Ordre de Santiago bénéficie de l'eglise [Root.Religion.GetName] et ses chevaliers ont fait vœu de purger des royaumes entiers des infidèles et des païens qui y habitent si un souverain [Root.Religion.GetName] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, d.h. dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat von die [Root.Religion.GetName] Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName] Majestät dies befiehlt. ;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si así lo solicitara un gobernante [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_2709;The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;L'Ordre de Calatrava est le plus récent ajout aux soldats de la Croix. Il a été approuvé par une bulle de l'eglise [Root.Religion.GetName]. Ces chevaliers tiennent leur nom d'un château repris aux infidèles musulmans en péninsule ibérique, et ils sont prêts à combattre les païens et à défendre les croyants au nom de tout souverain [Root.Religion.GetName] disposé à payer leur solde.;Der Orden von Calatrava ist der jüngste Zugang in der Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName] Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName] Herrschers, der bereit ist, für ihren Unterhalt aufzukommen. ;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;;;;;;;;;x
EVTDESC39100;A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.;L'Église [Root.Religion.GetName] a émis une bulle confirmant la formation d’un nouvel ordre religieux : les Chevaliers de Saint Jean. Les chevaliers, qui protègent et soignent déjà les pèlerins malades à Jérusalem, bénéficient désormais de l’appui de l’Église [Root.Religion.GetName]. Les pieux souverains chrétiens font appel à eux pour faire la guerre aux hérétiques et aux païens, mais ils ne combattront pas leurs frères [Root.Religion.GetName].;Die [Root.Religion.GetName] Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Malteserorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName] Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
