#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IS_NOT_LOVER_OF;Is NOT a Lover of §Y$WHO$§!;N'est pas l'amant(e) de §Y$WHO$§!;Ist KEIN Liebhaber von §Y$WHO$§!;;No es un amante de §Y$WHO$§!;;;;;;;;;x
IS_LOVER_OF;Is a Lover of §Y$WHO$§!;Est l'amant(e) de §Y$WHO$§!;Ist ein Liebhaber von §Y$WHO$§!;;es un amante de §Y$WHO$§!;;;;;;;;;x
HAS_LESS_SPOUSES_THAN;Has fewer spouses than ;Nombre d'époux(ses) inférieur à ;Hat weniger Ehepartner als;;tiene menos cónyuges que;;;;;;;;;x
HAS_MORE_SPOUSES_THAN;Number of spouses at least ;Nombre d'époux(ses) d'au moins ;Mindestzahl der Ehepartner;;Número de cónyuges por lo menos;;;;;;;;;x
HAS_LESS_CONSORTS_THAN;Has fewer consorts than ;Nombre de compagnons inférieur à ;Hat weniger Gemahle als;;tiene un menor número de consortes que;;;;;;;;;x
HAS_MORE_CONSORTS_THAN;Number of consorts at least ;Nombre de compagnons d'au moins ;Mindestzahl der Gemahle;; Número de consortes por lo menos;;;;;;;;;x
HAS_LESS_LOVERS_THAN;Has fewer lovers than ;Nombre d'amant(e)s inférieur à ;Hat weniger Liebhaber als;; tiene menos amantes que;;;;;;;;;x
HAS_MORE_LOVERS_THAN;Number of lovers at least ;Nombre d'amant(e)s d'au moins ;Mindestzahl der Liebhaber;; Número de amantes por lo menos;;;;;;;;;x
ANY_LOVER_STARTS;Any Lover;Tout amant(e);Jeder Liebhaber;; cualquier amante;;;;;;;;;x
AIREASON_AGE_DIFFERENCE;Difference in Age;Différence d'âge;Altersunterschied;; diferencia de edad;;;;;;;;;x
ANY_CLAIM_STARTS;Any Claim;Toute revendication;Jeder Anspruch;; Cualquier Reclamación;;;;;;;;;x
IS_PACIFIST;Is a Pacifist ;Est pacifiste ;Ist ein Pazifist;; es un pacifista;;;;;;;;;x
IS_NOT_PACIFIST;Is NOT a Pacifist ;N'est PAS pacifiste ;Ist KEIN Pazifist;; no es un pacifista;;;;;;;;;x
EVTDESC_RoI_10003;My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.;Notre [GetFromRelation] montre tous les signes de la réincarnation de notre [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Notre [From.GetFirstName] parle souvent de ses anciens amis et de son ancienne famille, et connaît les noms d'un ;Mein geliebter [GetFromRelation] weist alle Anzeichen dafür auf, dass er mein wiedergeborener [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName] ist. Klein-[From.GetFirstName] spricht oft von [From.GetPossPronoun] alten Freunden und Verwandt;; mi amado [GetFromRelation] está mostrando todos los signos de ser mi renacido/a [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. El pequeño/a [From.GetFirstName] a menudo habla de [From.GetPossPronoun] viejos amigos y familiares, incluso nombrando a muchos de ellos correctamente.;;;;;;;;;x
conscript_merchant_ships;Conscript Merchant Ships;Navire marchant conscrit;Handelsschiffe zwangsverpflichten;; Barcos mercantes conscriptos;;;;;;;;;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;En raison de ses territoires outre-mer, mon royaume possède un bon nombre de navire marchands que nous pouvons mobiliser en temps de guerre. Évidemment, cela a un prix...;Aufgrund von Liegenschaften in Übersee floriert in meinem Reich die Handelsschiffahrt, deren Schiffe in Kriegszeiten zwangsverpflichtet werden können - gegen eine stattliche Summe Gold, versteht sich…;; Con propiedades en el extranjero, mi reino tiene gran parte de la marina mercante que puede ser reclutada en tiempos de guerra - por una buena suma de oro, por supuestoÉ;;;;;;;;;x
HAS_NO_OVERSEAS_HOLDINGS;Has NO overseas holdings;Ne possède PAS de territoires outre-mer;Hat KEINE Liegenschaften im Ausland;; NO tiene propiedades en el extranjero;;;;;;;;;x
HAS_OVERSEAS_HOLDINGS;Has overseas holdings;Possède des territoires outre-mer;Hat Liegenschaften im Ausland;; Tiene propiedades en el extranjero;;;;;;;;;x
OUT_OF_SUPPLIES;This unit has been out of supplies for;Cette unité n'est pas ravitaillée depuis;Diese Einheit hat keinen Nachschub erhalten seit;; Esta unidad ha estado sin suministros durante;;;;;;;;;x
MATCHMAKING_SERVER_HOST_TITLE;Host Game Settings;Paramètres d'hébergement;Einstellungen für die Spielerstellung;; Configuración de juego del huésped;;;;;;;;;x
SAMRAT_CHAKRAVARTIN;Samrat Chakravartin;Samrat Chakravartin;Samrat Chakravartin;; Samrat Chakravartin;;;;;;;;;x
SAMRAJNI_CHAKRAVARTIN;Samrajni Chakravartin;Samrajni Chakravartin;Samrajni Chakravartin;; Samrajni Chakravartin;;;;;;;;;x
CHARVIEW_RELATIONS;Relations;Relations;Beziehungen;; Relaciones;;;;;;;;;x
ADD_FRIEND_EFFECT;$WHO$ and §Y$OTHER$§W become close friends.\n;$WHO$ et §Y$OTHER$§W sont maintenant amis proches.\n;$WHO$ und §Y$OTHER$§W sind nun enge Freunde.\n;; $WHO$ y §Y$OTHER$§W se convierten en amigos íntimos.\n;;;;;;;;;x
REMOVE_FRIEND_EFFECT;The friendship between $WHO$ and §Y$OTHER$§W ends.\n;L'amitié entre $WHO$ et §Y$OTHER$§W n'est plus.\n;Die Freundschaft zwischen $WHO$ und §Y$OTHER$§W ist beendet.\n;; La amistad entre  $WHO$ y §Y$OTHER$§W termina.\n;;;;;;;;;x
ADD_RIVAL_EFFECT;$WHO$ and §Y$OTHER$§W become bitter rivals.\n;$WHO$ et §Y$OTHER$§W sont désormais de grands rivaux.\n;$WHO$ und §Y$OTHER$§W sind nun Erzrivalen.\n;; $WHO$ y §Y$OTHER$§W se convierten en rivales.\n;;;;;;;;;x
REMOVE_RIVAL_EFFECT;The rivalry between $WHO$ and §Y$OTHER$§W ends.\n;La rivalité entre $WHO$ et §Y$OTHER$§W n'est plus.\n;Die Rivalität zwischen $WHO$ und §Y$OTHER$§W ist beendet.\n;;La rivalidad entre $WHO$ y §Y$OTHER$§W termina.\n;;;;;;;;;x
AIREASON_GLAD_TO_TAKE_HOSTAGE;Glad to Take Hostage;Ravi de prendre en otage;Froh über Geiselnahme;; Encantado de tomar rehén;;;;;;;;;x
convert_to_local_culture;Convert to Local Culture ([Root.Capital.Culture.GetName]);Conversion à la culture locale ([Root.Capital.Culture.GetName]);Konvertiert zur lokalen Kultur ([Root.Capital.Culture.GetName]);; Convertir a la cultura local ([Root.Capital.Culture.GetName]);;;;;;;;;x
