#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_RoI_10011;My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day! [From.GetFirstName] is definitely expressing another of [From.Reincarnation.GetFirstName]'s personality traits...;Notre [GetFromRelation] [From.GetFirstName], réincarnation de [From.Reincarnation.GetTitledFirstName], se comporte chaque jour davantage comme sa précédente incarnation ! [From.GetFirstName] est clairement en train d'exprimer un autre aspect de la personn;Mein [GetFromRelation] [From.GetFirstName], die Wiedergeburt von [From.Reincarnation.GetTitledFirstName], verhält sich mehr und mehr wie [From.GetPossPronoun] vorherige Inkarnation! [From.GetFirstName] legt definitiv ein weiteres Persönlichkeitsmerkmal vo;; Mi [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] renacido, está actuando cada día más más como [From.GetPossPronoun] encarnación anterior.  [From.GetFirstName] está sin duda expresando otra de [From.Reincarnation.GetFirstName] características de personalidad ...;;;;;;;;;x
form_the_hre;Form the Holy Roman Empire;Constituer le Saint-Empire romain germanique;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x
form_the_hre_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii, je pourrai faire en sorte que [Root.RelHead.GetBestName] me couronne empereur d'un nouve;Mit einem Reich, das dem von Karl dem Großen gleichkommt, könnte ich als sein wahrer Nachfolger gelten und mich durch die Anrufung der Translatio Imperii von [Root.RelHead.GetBestName] zum Kaiser des neuen Römischen Imperiums des Westens krönen lassen!;; Con un reino para rivalizar con el de Carlomagno, yo podría ser reconocido como su verdadero sucesor e, invocando a Translatio Imperii, que [Root.RelHead.GetBestName] me corone emperador de un Nuevo Imperio Romano en el oeste!;;;;;;;;;x
buddhist_DESC;Buddhism was founded by the Buddha, Siddhartha Gautama, in Northeast India in the 5th century BC. The religion flourished in India for more than 1500 years, building huge libraries and monastery complexes, until Muslim invasions and the growing power of the Brahmin caste drove Buddhism out of the subcontinent. In the game, Buddhists get a significant bonus to Learning, meaning that they will research technologies faster. Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Caste Traits do not matter\n§Y*§! Buddhists get a hefty Learning bonus\n§Y*§! Can declare Subjugation Wars against all Indian religions\n§Y*§! Can declare limited Holy Wars against non-Indian religions\n§Y*§! Hard to convert Jain and Hindu counties\n§Y*§! Can designate any valid offspring as the heir;Le bouddhisme a été fondé par le Bouddha, Siddhartha Gautama, dans le nord de l'Inde au Ve siècle avant Jésus Christ. Cette religion s'est développée en Inde pendant plus de 1500 ans par la construction de gigantesques bibliothèques et de grands monastère;Der Buddhismus wurde von Buddha Siddhartha Gautama im nordöstlichen Indien im 5. Jahrhundert v. Chr. begründet. Die Religion gedieh in Indien mehr als 1500 Jahre lang, wobei  große Bibliotheken und Klosterkomplexe erbaut wurden, bis die Buddhisten durch m;; El Budismo fue fundado por el Buda, Siddhartha Gautama, en el noreste de la India en el siglo quinto antes de Cristo. La religión floreció en la India hace más de 1500 años, construyendo enormes bibliotecas y complejos monásticos, hasta las invasiones Musulmanas y el creciente poder de la casta de los Brahmanes que llevaron al Budismo fuera del subcontinente. En el juego, los Budistas consiguen una bonificación significativa por aprendizaje, lo que significa que van a investigar las tecnologías más rápido. Definición de las características del juego: No hay jefe religioso.  Las características de Casta no importan. Los Budistas reciben un considerable bono de aprendizaje. Se pueden declarar guerras de subyugación contra todas las religiones Indias.  Se pueden declarar Guerras Santas limitadas contra las religiones que no son Indias. Es duro convertir condados jainistas e hindúes. Se puede designar cualquier descendiente válido como heredero;;;;;;;;;x
jain_DESC;Jainism is a religion of incredible antiquity, stemming from the ascetic Sramana tradition of India, in opposition to the priestly Brahmins and the caste system. The guiding principle of Jainism is Ahimsa - non-violence - which is more radically interpreted than in any other religion. In the game, Jains have a hard time waging offensive wars, but their remarkable tolerance means Jain rulers are well liked by all. Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Caste Traits do not matter\n§Y*§! Cannot declare Holy Wars\n§Y*§! Can declare Subjugation Wars against all Indian religions\n§Y*§! Much lower chance of provincial revolts\n§Y*§! Large bonuses to all vassal opinions\n§Y*§! Rulers can hold larger Demesnes\n§Y*§! Can designate any valid offspring as the heir;Le jaïnisme est une religion qui remonte à la nuit des temps, à l'antique tradition des ascètes shramana en Inde, par opposition aux prêtres brahmanes et au système de castes. Le principe au cœur du jaïnisme s'appelle l'ahimsa, la non-violence, interprété;Jainismus ist eine Religion mit unglaublich alten Ursprüngen und entstammt der asketischen Sramana-Tradition aus Indien, im Gegensatz zu den Brahmanen und dem Kastensystem. Der leitende Prinzip des Jainismus ist Ahimsa, die Gewaltlosigkeit, welches radika;; El jainismo es una religión increíblemente antigua, derivada de la tradición ascética Sramana de la India, en oposición a los sacerdotes Brahmanes  y el sistema de castas. La pauta principal del Jainismo es Ahimsa - la no violencia - que se interpreta más radicalmente que en cualquier otra religión. En el juego, los Jainistas tienen dificultades para librar guerras ofensivas, pero su notable tolerancia significa que los gobernantes Jainistas son muy apreciados por todos. Definición de las características del juego: No hay jefe religioso.  Las características de Casta no importan. No se pueden declarar guerras santas. Se pueden declarar guerras de subyugación contra todas las religiones Indias.  Probabilidad mucho menor de rebeliónes provinciales. Grandes bonificaciones por todas las opiniones de los vasallos. Los gobernantes pueden tener mayor heredad. Se puede designar cualquier descendiente válida como heredero;;;;;;;;;x
IndiaDLC;Rajas of India;Rajas of India;Radschas von Indien;;Rajás de la India;;;;;;;;;x
TurkishUnitPackDLC;Turkish Unit Pack;Pack d'unités turques;Türkische Einheiten Paket;;Paquete de unidad turco;;;;;;;;;x
TurkishPortraitDLC;Turkish Portraits;Portraits turcs;Türkische Porträts;;Retratos Turcos ;;;;;;;;;x
SongsOfIndiaDLC;Songs of India;Chants de l'Inde;Lieder aus Indien;; Cantos de India;;;;;;;;;x
opinion_vassal_king;Vassal King;Roi vassal;Vassallenkönig;;Rey Vasallo;;;;;;;;;x
