#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
escaped_siege;Escaped from a siege;;;;Escapado por un asedio;;;;;;;;;;x
dis_chance;Slight chance of infection from serious diseases\n\n;;;;Leve posibilidad de infección de enfermedad severa\n\n;;;;;;;;;;x
left_at_siege;Kept in the Castle;;;;Aguardando en el castillo;;;;;;;;;;x
left_to_rot;Left to rot in prison;;;;Olvidado en el calabozo;;;;;;;;;;x
death_escape;died attempting a daring escape;;;;Muerto intentando una huida osada;;;;;;;;;;x
left_behind;Left behind at siege;;;;Abandonado en el asedio;;;;;;;;;;x
stalwart_defender;Stalwart Defender;;;;Leal defensor;;;;;;;;;;x
modifier_hidden;Hidden in countryside;;;;Escondido en la campiña;;;;;;;;;;x
joined_war_against_me;Joined War Against Me;;;;Unido a una guerra en mi contra;;;;;;;;;;x
stolen_banner;Captured Banner;;;;Bandera capturada;;;;;;;;;;x
liberated;Liberated from occupation;;;;Liberado de la ocupación;;;;;;;;;;x
EVTDESCSIEGECAPTURE;[Root.GetBestName] was captured by [From.GetBestName] while trying to flee the castle!;[Root.GetBestName] a été capturé(e) par [From.GetBestName] lors d’un combat !;[Root.GetBestName] wurde in der Schlacht von [From.GetBestName] gefangengenommen!;;¡[Root.GetBestName] fue capturado mientras intentaba huir del castillo por [From.GetBestName]!;;;;;;;;;x;
EVTDESCCAPTUREENEMYSIEGE;[From.GetBestName] was captured after the siege and is now my prisoner!;[From.GetBestName] a été capturé(e) au combat. C’est désormais mon(ma) prisonnier(ière) !;[From.GetBestName] wurde in der Schlacht gefangengenommen und ist nun mein Gefangener!;;¡[From.GetBestName] fue capturado tras el asedio y ahora es mi prisionero!;;;;;;;;;x;
EVTDESCbattlewin001;You can add this to the list of my accomplishments.;;;;Suma esto a la lista de mis logros.;;;;;x;;;;;
EVTDESCsiegewin001;You can add this to the list of my accomplishments.;;;;Suma esto a la lista de mis logros.;;;;;x;;;;;
EVTDESCsiegeescape01;[Root.GetBestName]! The castle could fall any day now, we must make preparations...;;;;¡[Root.GetBestName]! El castillo caerá cualquier día de estos, debemos hacer los preparativos...;;;;;;;;;;x
EVTOPTAsiegeescape1;Flee the castle via secret underground tunnel...;;;;Huyó del castillo por un pasaje subterráneo secreto.;;;;;;;;;;x
EVTOPTAsiegeescape2;place;;;;Un lugar;;;;;;;;;;x
EVTDESCsiegewin01;My Lord, we've rounded up everybody we could find.  What should we do with them?;;;;Mi Señor, hemos acorralado a todos los que pudimos encontrar. ¿Qué debemos hacer con ellos?;;;;;;;;;;x
EVTOPTAsiegewin1;Clap their leader in irons and leave the rest here.;;;;Viste a su líder con cadenas y deja al resto aquí.;;;;;;;;;;x
EVTOPTAsiegewin2;Grab him and his entire family.;;;;Recógele con toda su familia.;;;;;;;;;;x
EVTOPTAsiegewin3;These people are useless, leave them be.;;;;Esta gente es inservible, dejadles en paz.;;;;;;;;;;x
